	GeoArea_FIPS	GeoArea_Key	GeoArea_Name	PZ_Name	WDB_Name	Economic_Measure_Name	Data_Period_Business_Key	GDP
852	37087	FIPS_37087	Haywood County	Western	Southwestern	   Accommodation and food services	2001	49618.0
853	37087	FIPS_37087	Haywood County	Western	Southwestern	  Other services (except government and government enterprises)	2001	39758.0
854	37087	FIPS_37087	Haywood County	Western	Southwestern	Government and government enterprises	2001	167462.0
855	37089	FIPS_37089	Henderson County	Western	Mountain Area	  Agriculture, forestry, fishing and hunting	2001	
856	37089	FIPS_37089	Henderson County	Western	Mountain Area	  Mining, quarrying, and oil and gas extraction	2001	2901.0
857	37089	FIPS_37089	Henderson County	Western	Mountain Area	  Utilities	2001	6854.0
858	37089	FIPS_37089	Henderson County	Western	Mountain Area	  Construction	2001	152814.0
859	37089	FIPS_37089	Henderson County	Western	Mountain Area	  Manufacturing	2001	587919.0
860	37089	FIPS_37089	Henderson County	Western	Mountain Area	  Wholesale trade	2001	71735.0
861	37089	FIPS_37089	Henderson County	Western	Mountain Area	  Retail trade	2001	210328.0
862	37089	FIPS_37089	Henderson County	Western	Mountain Area	  Transportation and warehousing	2001	
863	37089	FIPS_37089	Henderson County	Western	Mountain Area	  Information	2001	24680.0
864	37089	FIPS_37089	Henderson County	Western	Mountain Area	   Real estate and rental and leasing	2001	229885.0
865	37089	FIPS_37089	Henderson County	Western	Mountain Area	  Professional and business services	2001	139264.0
866	37089	FIPS_37089	Henderson County	Western	Mountain Area	   Management of companies and enterprises	2001	14139.0
867	37089	FIPS_37089	Henderson County	Western	Mountain Area	   Administrative and support and waste management and remediation services	2001	69116.0
868	37089	FIPS_37089	Henderson County	Western	Mountain Area	   Educational services	2001	10125.0
869	37089	FIPS_37089	Henderson County	Western	Mountain Area	   Health care and social assistance	2001	169782.0
870	37089	FIPS_37089	Henderson County	Western	Mountain Area	   Arts, entertainment, and recreation	2001	30934.0
871	37089	FIPS_37089	Henderson County	Western	Mountain Area	   Accommodation and food services	2001	74128.0
872	37089	FIPS_37089	Henderson County	Western	Mountain Area	  Other services (except government and government enterprises)	2001	74361.0
873	37089	FIPS_37089	Henderson County	Western	Mountain Area	Government and government enterprises	2001	247099.0
874	37091	FIPS_37091	Hertford County	Northeast	Region Q	  Agriculture, forestry, fishing and hunting	2001	51082.0
875	37091	FIPS_37091	Hertford County	Northeast	Region Q	  Mining, quarrying, and oil and gas extraction	2001	0.0
876	37091	FIPS_37091	Hertford County	Northeast	Region Q	  Utilities	2001	1994.0
877	37091	FIPS_37091	Hertford County	Northeast	Region Q	  Construction	2001	16865.0
