	GeoArea_FIPS	GeoArea_Key	GeoArea_Name	PZ_Name	WDB_Name	Economic_Measure_Name	Data_Period_Business_Key	GDP
0	37000	FIPS_37000	North Carolina			  Agriculture, forestry, fishing and hunting	2001	4079816.0
1	37000	FIPS_37000	North Carolina			  Mining, quarrying, and oil and gas extraction	2001	539497.0
2	37000	FIPS_37000	North Carolina			  Utilities	2001	4692154.0
3	37000	FIPS_37000	North Carolina			  Construction	2001	14286151.0
4	37000	FIPS_37000	North Carolina			  Manufacturing	2001	70608977.0
5	37000	FIPS_37000	North Carolina			  Wholesale trade	2001	14625838.0
6	37000	FIPS_37000	North Carolina			  Retail trade	2001	18065299.0
7	37000	FIPS_37000	North Carolina			  Transportation and warehousing	2001	6729315.0
8	37000	FIPS_37000	North Carolina			  Information	2001	8536895.0
9	37000	FIPS_37000	North Carolina			   Real estate and rental and leasing	2001	29630157.0
10	37000	FIPS_37000	North Carolina			  Professional and business services	2001	25508832.0
11	37000	FIPS_37000	North Carolina			   Management of companies and enterprises	2001	5843605.0
12	37000	FIPS_37000	North Carolina			   Administrative and support and waste management and remediation services	2001	6867002.0
13	37000	FIPS_37000	North Carolina			   Educational services	2001	2275806.0
14	37000	FIPS_37000	North Carolina			   Health care and social assistance	2001	16015245.0
