,	RegionName	State	Metro	StateCodeFIPS	MunicipalCodeFIPS	SizeRank	2010-01	2010-02	2010-03	2010-04	2010-05	2010-06	2010-07	2010-08	2010-09	2010-10	2010-11	2010-12	2011-01	2011-02	2011-03	2011-04	2011-05	2011-06	2011-07	2011-08	2011-09	2011-10	2011-11	2011-12	2012-01	2012-02	2012-03	2012-04	2012-05	2012-06	2012-07	2012-08	2012-09	2012-10	2012-11	2012-12	2013-01	2013-02	2013-03	2013-04	2013-05	2013-06	2013-07	2013-08	2013-09	2013-10	2013-11	2013-12	2014-01	2014-02	2014-03	2014-04	2014-05	2014-06	2014-07	2014-08	2014-09	2014-10	2014-11	2014-12	2015-01	2015-02	2015-03	2015-04	2015-05	2015-06	2015-07	2015-08	2015-09	2015-10	2015-11	2015-12	2016-01	2016-02	2016-03	2016-04	2016-05	2016-06	2016-07	2016-08	2016-09	2016-10	2016-11	2016-12	2017-01	2017-02	2017-03	2017-04	2017-05	2017-06	2017-07	2017-08	2017-09	2017-10	2017-11	2017-12	2018-01	2018-02	2018-03	2018-04	2018-05	2018-06	2018-07	2018-08	2018-09	2018-10	2018-11	2018-12	2019-01	2019-02	2019-03	2019-04	2019-05	2019-06	2019-07	2019-08	2019-09
79,1948	Chowan County	NC		37	041	1949																																																																																																				219000.0	214900.0	211500.0	225000.0	219000.0	204450.0	209000.0	199000.0	209000.0	214950.0	199000.0	205000.0	216500.0	214500.0	209000.0	228999.5	229750.0	228999.5
80,1981	Swain County	NC		37	173	1982	245000.0	235000.0	250000.0	250000.0	250000.0	242450.0	239000.0	237900.0	238450.0	249000.0	249000.0	249000.0	239000.0	229500.0	225000.0	225000.0	225000.0	239000.0	225000.0	224900.0	224900.0	215000.0	219000.0	200000.0	199900.0	199000.0	199000.0	198900.0	199900.0	199000.0	199900.0	201000.0	205000.0	199000.0	199000.0	199000.0	199000.0	199000.0	196500.0	199000.0	199000.0	199000.0	199900.0	199000.0	189250.0	189000.0	189500.0	192000.0	194500.0	189700.0	185900.0	195000.0	197750.0	196500.0	199000.0	199950.0	199900.0	200000.0	202500.0	205000.0	199900.0	210000.0	207000.0	225000.0	227000.0	215000.0	212500.0	215000.0	204250.0	225000.0	225000.0	222000.0	215000.0	205000.0	221950.0	215000.0	209450.0	215000.0	209900.0	216900.0	219850.0	225000.0	219000.0	219000.0	225000.0	225000.0	235000.0	235000.0	239500.0	240000.0	244950.0	239900.0	249900.0	254000.0	249900.0	249900.0	259000.0	249450.0	249900.0	249000.0	237000.0	248450.0	255000.0	255250.0	262000.0	275000.0	277000.0	279000.0	275000.0	282450.0	285000.0	279450.0	264950.0	249900.0	239000.0	249000.0	239500.0
81,2009	Perquimans County	NC	Elizabeth City	37	143	2010	275000.0	239900.0	239900.0	244500.0	230000.0	225000.0	221500.0	217000.0	218950.0	218950.0	218000.0	224900.0	209500.0	214500.0	207500.0	222400.0	205000.0	205000.0	199900.0	199450.0	199450.0	199950.0	199900.0	194950.0	198900.0	187000.0	179950.0	188500.0	188500.0	180000.0	179900.0	170000.0	184500.0	189000.0	189000.0	189000.0	217400.0	208700.0	199900.0	224950.0	219900.0	219900.0	213700.0	199900.0	199900.0	197000.0	196000.0	194000.0	189900.0	193500.0	197950.0	199450.0	189000.0	188944.0	189000.0	179900.0	184250.0	182900.0	189900.0	190000.0	192950.0	189250.0	185500.0	196450.0	199000.0	199000.0	199500.0	198500.0	199000.0	209450.0	209000.0	199250.0	189700.0	177450.0	208000.0	209000.0	209000.0	204500.0	206500.0	206500.0	212000.0	217000.0	210990.0	209950.0	210000.0	209950.0	215450.0	219900.0	225900.0	235000.0	242450.0	239000.0	239000.0	235000.0	229950.0	227450.0	225000.0	228500.0	228500.0	228000.0	229000.0	229000.0	225900.0	229500.0	220000.0	220000.0	224900.0	220000.0	219000.0	199900.0	199900.0	215000.0	215000.0	198500.0	227000.0	240950.0	265000.0
82,2019	Washington County	NC		37	187	2020																																																																																																				92400.0	98000.0	98950.0	99700.0	92400.0	89700.0	89900.0	89900.0	92450.0	89000.0	89700.0	94500.0	99450.0	99900.0	95000.0	89450.0	89000.0	87000.0
83,2021	Pamlico County	NC	New Bern	37	137	2022	289394.0	272200.0	287950.0	286900.0	289950.0	298500.0	298000.0	298250.0	298500.0	299900.0	309000.0	298500.0	299000.0	299700.0	309000.0	299900.0	299000.0	298000.0	299500.0	299000.0	299000.0	290000.0	267250.0	269250.0	265000.0	262500.0	262500.0	249250.0	249950.0	255000.0	249000.0	235000.0	249500.0	249500.0	235000.0	239500.0	249000.0	249500.0	249500.0	256450.0	274000.0	275000.0	267000.0	264900.0	249900.0	249000.0	249000.0	249900.0	240000.0	247000.0	249000.0	249000.0	259000.0	257000.0	259450.0	259900.0	260000.0	270250.0	269500.0	260000.0	259900.0	233250.0	249900.0	259000.0	257000.0	264750.0	260000.0	264900.0	270250.0	260000.0	252400.0	249900.0	249700.0	260000.0	242900.0	249500.0	249900.0	249250.0	249500.0	249700.0	267500.0	259450.0	259900.0	259000.0	257000.0	259000.0	249900.0	259900.0	264000.0	269500.0	268750.0	260000.0	259950.0	259000.0	249000.0	249000.0	249000.0	242000.0	249500.0	263700.0	249250.0	249750.0	256500.0	254999.5	259900.0	264900.0	264900.0	259000.0	249900.0	249950.0	250000.0	252499.5	264900.0	269900.0	261450.0	261450.0	269250.0
84,2082	Alleghany County	NC		37	005	2083	229000.0	227450.0	225900.0	235250.0	229900.0	227000.0	224000.0	225000.0	224000.0	221950.0	223450.0	215900.0	212000.0	199900.0	199900.0	199900.0	202450.0	207000.0	199900.0	199900.0	215000.0	189000.0	199900.0	199900.0	229000.0	219000.0	215000.0	199450.0	199000.0	190000.0	198000.0	199900.0	182500.0	191400.0	200750.0	199900.0	209000.0	199900.0	193800.0	189700.0	196750.0	198600.0	205000.0	196750.0	215450.0	220000.0	220000.0	216500.0	207000.0	214000.0	219950.0	225000.0	225000.0	225000.0	209000.0	199900.0	189950.0	189000.0	184800.0	191000.0	195000.0	192500.0	199900.0	220000.0	219000.0	201700.0	179900.0	175000.0	174900.0	184000.0	184950.0	169900.0	169900.0	169900.0	189900.0	195000.0	205000.0	215000.0	205000.0	199000.0	199900.0	199500.0	219450.0	199900.0	215000.0	199900.0	210000.0	219900.0	221950.0	239950.0	229900.0	230000.0	229900.0	224000.0	225000.0	224900.0	207000.0	205000.0	224450.0	234000.0	238250.0	239900.0	239900.0	239000.0	232000.0	232000.0	229900.0	229900.0	229900.0	236000.0	229000.0	237000.0	238000.0	244250.0	249000.0	248250.0	237000.0
85,2106	Clay County	NC		37	043	2107	239800.0	239000.0	239000.0	239900.0	239900.0	244000.0	234250.0	239000.0	239900.0	239450.0	231700.0	229450.0	214229.5	209000.0	199450.0	199900.0	199900.0	199900.0	199900.0	199900.0	199950.0	200000.0	199999.0	205000.0	205000.0	204500.0	204500.0	180000.0	171125.0	174900.0	174900.0	179250.0	174900.0	169000.0	169000.0	198500.0	219000.0	215000.0	199900.0	215000.0	225000.0	229000.0	224900.0	219000.0	219000.0	205000.0	224900.0	219900.0	214987.0	216250.0	214993.5	219900.0	218250.0	214993.5	209000.0	199900.0	199900.0	202499.5	199900.0	199900.0	199900.0	199500.0	199900.0	209000.0	239450.0	235000.0	229000.0	229000.0	239900.0	249000.0	239900.0	239500.0	229000.0	229000.0	229000.0	239000.0	249900.0	239900.0	230950.0	229000.0	229900.0	229000.0	229150.0	229900.0	229000.0	227400.0	229900.0	235000.0	239900.0	249000.0	244900.0	249000.0	249900.0	249900.0	249900.0	249000.0	259000.0	249000.0	259900.0	259900.0	258000.0	249000.0	246750.0	249000.0	249450.0	249000.0	247500.0	245250.0	249900.0	249000.0	249999.5	252500.0	252000.0	259000.0	259900.0	259000.0	265000.0
86,2128	Camden County	NC	Elizabeth City	37	029	2129	275000.0	274900.0	259900.0	259900.0	250000.0	253582.0	254500.0	249900.0	251082.0	249250.0	239900.0	237450.0	239900.0	240000.0	262450.0	257450.0	250000.0	277500.0	285000.0	289900.0	268100.0	259250.0	248444.0	238500.0	237500.0	242250.0	239900.0	235000.0	229900.0	230000.0	229900.0	232250.0	231125.0	209000.0	209000.0	209900.0	232250.0	237250.0	232250.0	232250.0	228500.0	232400.0	229900.0	231375.0	234900.0	229000.0	229000.0	229900.0	229900.0	230000.0	236250.0	235000.0	235000.0	239700.0	239700.0	236950.0	235450.0	229000.0	224000.0	229000.0	236900.0	238400.0	239900.0	249500.0	240000.0	239000.0	235000.0	234700.0	246000.0	259900.0	254900.0	252400.0	249900.0	249500.0	249900.0	249900.0	259900.0	259900.0	277400.0	268950.0	269900.0	274900.0	268950.0	264494.0	262500.0	267494.0	272200.0	268500.0	255000.0	252950.0	253950.0	265900.0	265900.0	250000.0	249900.0	250000.0	250000.0	250000.0	268700.0	274900.0	268700.0	271250.0	265000.0	254500.0	249900.0	265900.0	274900.0	279450.0	274950.0	297900.0	289900.0	285450.0	285900.0	279900.0	285900.0	289000.0	289000.0
87,2168	Graham County	NC		37	075	2169	302450.0	289000.0	289000.0	272200.0	269900.0	259900.0	259900.0	259900.0	239000.0	239000.0	239000.0	239000.0	229900.0	205950.0	199900.0	199000.0	199900.0	199000.0	199900.0	199000.0	196500.0	199000.0	195000.0	187000.0	184950.0	184900.0	190000.0	174950.0	177000.0	171950.0	175000.0	181500.0	193500.0	199500.0	189000.0	199000.0	190000.0	190000.0	175000.0	170000.0	189000.0	169999.0	179000.0	169900.0	174000.0	175000.0	169949.5	174000.0	174500.0	174000.0	184000.0	189900.0	185000.0	174900.0	175000.0	175000.0	175000.0	169900.0	169900.0	172000.0	169450.0	185000.0	184900.0	169000.0	169450.0	149950.0	169000.0	169700.0	173750.0	179000.0	175000.0	179000.0	173000.0	179900.0	171000.0	179000.0	179900.0	191500.0	191500.0	179450.0	185900.0	179450.0	189000.0	189000.0	179900.0	178750.0	183000.0	198750.0	193750.0	198750.0	194000.0	185500.0	199947.5	209000.0	209450.0	231950.0	239900.0	239000.0	219000.0	257000.0	249900.0	239000.0	239000.0	230000.0	244900.0	249900.0	249900.0	249900.0	259000.0	264000.0	269000.0	263000.0	249000.0	239000.0	239000.0	252000.0	250000.0
88,2245	Hyde County	NC		37	095	2246																																																																																																					322500.0	299000.0	325000.0	312000.0	299000.0	298250.0	297500.0	325000.0	339000.0	364900.0	350000.0	354950.0	364950.0	359900.0	365000.0	365000.0	350000.0
