GeoArea_FIPS	GeoArea_Name	Economic_Measure_Code	Economic_Measure_Name	Measure_Name	Data_Period_Business_Key	Estimated_Value	Unit_of_Measure_Code
00000	United States	NYTI_NAT_COV04	COVID-19 Confirmed Deaths		2020-03-24	774.0	Count
00000	United States	NYTI_NAT_COV04	COVID-19 Confirmed Deaths		2020-03-25	1044.0	Count
00000	United States	NYTI_NAT_COV04	COVID-19 Confirmed Deaths		2020-03-26	1350.0	Count
00000	United States	NYTI_NAT_COV04	COVID-19 Confirmed Deaths		2020-03-27	1764.0	Count
00000	United States	NYTI_NAT_COV04	COVID-19 Confirmed Deaths		2020-03-28	2294.0	Count
00000	United States	NYTI_NAT_COV04	COVID-19 Confirmed Deaths		2020-03-29	2710.0	Count
00000	United States	NYTI_NAT_COV04	COVID-19 Confirmed Deaths		2020-03-30	3365.0	Count
00000	United States	NYTI_NAT_COV04	COVID-19 Confirmed Deaths		2020-03-31	4301.0	Count
00000	United States	NYTI_NAT_COV04	COVID-19 Confirmed Deaths		2020-04-01	5329.0	Count
00000	United States	NYTI_NAT_COV04	COVID-19 Confirmed Deaths		2020-04-02	6558.0	Count
00000	United States	NYTI_NAT_COV04	COVID-19 Confirmed Deaths		2020-04-03	7918.0	Count
00000	United States	NYTI_NAT_COV04	COVID-19 Confirmed Deaths		2020-04-04	9486.0	Count
00000	United States	NYTI_NAT_COV04	COVID-19 Confirmed Deaths		2020-04-05	10852.0	Count
00000	United States	NYTI_NAT_COV04	COVID-19 Confirmed Deaths		2020-04-06	12360.0	Count
00000	United States	NYTI_NAT_COV04	COVID-19 Confirmed Deaths		2020-04-07	14614.0	Count
00000	United States	NYTI_NAT_COV04	COVID-19 Confirmed Deaths		2020-04-08	16716.0	Count
00000	United States	NYTI_NAT_COV04	COVID-19 Confirmed Deaths		2020-04-09	18821.0	Count
00000	United States	NYTI_NAT_COV04	COVID-19 Confirmed Deaths		2020-04-10	21081.0	Count
00000	United States	NYTI_NAT_COV04	COVID-19 Confirmed Deaths		2020-04-11	23164.0	Count
00000	United States	NYTI_NAT_COV04	COVID-19 Confirmed Deaths		2020-04-12	24847.0	Count
00000	United States	NYTI_NAT_COV04	COVID-19 Confirmed Deaths		2020-04-13	26611.0	Count
00000	United States	NYTI_NAT_COV04	COVID-19 Confirmed Deaths		2020-04-14	29317.0	Count
00000	United States	NYTI_NAT_COV04	COVID-19 Confirmed Deaths		2020-04-15	32069.0	Count
00000	United States	NYTI_NAT_COV04	COVID-19 Confirmed Deaths		2020-04-16	34341.0	Count
00000	United States	NYTI_NAT_COV04	COVID-19 Confirmed Deaths		2020-04-17	36706.0	Count
00000	United States	NYTI_NAT_COV04	COVID-19 Confirmed Deaths		2020-04-18	38659.0	Count
00000	United States	NYTI_NAT_COV04	COVID-19 Confirmed Deaths		2020-04-19	40179.0	Count
00000	United States	NYTI_NAT_COV04	COVID-19 Confirmed Deaths		2020-04-20	42016.0	Count
00000	United States	NYTI_NAT_COV04	COVID-19 Confirmed Deaths		2020-04-21	44688.0	Count
00000	United States	NYTI_NAT_COV04	COVID-19 Confirmed Deaths		2020-04-22	47058.0	Count
00000	United States	NYTI_NAT_COV04	COVID-19 Confirmed Deaths		2020-04-23	49228.0	Count
00000	United States	NYTI_NAT_COV04	COVID-19 Confirmed Deaths		2020-04-24	51360.0	Count
00000	United States	NYTI_NAT_COV04	COVID-19 Confirmed Deaths		2020-04-25	53322.0	Count
00000	United States	NYTI_NAT_COV04	COVID-19 Confirmed Deaths		2020-04-26	54580.0	Count
00000	United States	NYTI_NAT_COV04	COVID-19 Confirmed Deaths		2020-04-27	56022.0	Count
00000	United States	NYTI_NAT_COV04	COVID-19 Confirmed Deaths		2020-04-28	58416.0	Count
00000	United States	NYTI_NAT_COV04	COVID-19 Confirmed Deaths		2020-04-29	60930.0	Count
00000	United States	NYTI_NAT_COV04	COVID-19 Confirmed Deaths		2020-04-30	63140.0	Count
00000	United States	NYTI_NAT_COV04	COVID-19 Confirmed Deaths		2020-05-01	64902.0	Count
00000	United States	NYTI_NAT_COV04	COVID-19 Confirmed Deaths		2020-05-02	66485.0	Count
00000	United States	NYTI_NAT_COV04	COVID-19 Confirmed Deaths		2020-05-03	67816.0	Count
00000	United States	NYTI_NAT_COV04	COVID-19 Confirmed Deaths		2020-05-04	68905.0	Count
00000	United States	NYTI_NAT_COV04	COVID-19 Confirmed Deaths		2020-05-05	71139.0	Count
00000	United States	NYTI_NAT_COV04	COVID-19 Confirmed Deaths		2020-05-06	73847.0	Count
00000	United States	NYTI_NAT_COV04	COVID-19 Confirmed Deaths		2020-05-07	75805.0	Count
00000	United States	NYTI_NAT_COV04	COVID-19 Confirmed Deaths		2020-05-08	77380.0	Count
00000	United States	NYTI_NAT_COV04	COVID-19 Confirmed Deaths		2020-05-09	78834.0	Count
00000	United States	NYTI_NAT_COV04	COVID-19 Confirmed Deaths		2020-05-10	79765.0	Count
00000	United States	NYTI_NAT_COV04	COVID-19 Confirmed Deaths		2020-05-11	80747.0	Count
00000	United States	NYTI_NAT_COV04	COVID-19 Confirmed Deaths		2020-05-12	82400.0	Count
00000	United States	NYTI_NAT_COV04	COVID-19 Confirmed Deaths		2020-05-13	84168.0	Count
00000	United States	NYTI_NAT_COV04	COVID-19 Confirmed Deaths		2020-05-14	85906.0	Count
00000	United States	NYTI_NAT_COV04	COVID-19 Confirmed Deaths		2020-05-15	87499.0	Count
00000	United States	NYTI_NAT_COV04	COVID-19 Confirmed Deaths		2020-05-16	88724.0	Count
00000	United States	NYTI_NAT_COV04	COVID-19 Confirmed Deaths		2020-05-17	89568.0	Count
00000	United States	NYTI_NAT_COV04	COVID-19 Confirmed Deaths		2020-05-18	90414.0	Count
00000	United States	NYTI_NAT_COV04	COVID-19 Confirmed Deaths		2020-05-19	91934.0	Count
00000	United States	NYTI_NAT_COV04	COVID-19 Confirmed Deaths		2020-05-20	93411.0	Count
00000	United States	NYTI_NAT_COV04	COVID-19 Confirmed Deaths		2020-05-21	94721.0	Count
00000	United States	NYTI_NAT_COV04	COVID-19 Confirmed Deaths		2020-05-22	96010.0	Count
00000	United States	NYTI_NAT_COV04	COVID-19 Confirmed Deaths		2020-05-23	97060.0	Count
00000	United States	NYTI_NAT_COV04	COVID-19 Confirmed Deaths		2020-05-24	97680.0	Count
00000	United States	NYTI_NAT_COV04	COVID-19 Confirmed Deaths		2020-05-25	98190.0	Count
00000	United States	NYTI_NAT_COV04	COVID-19 Confirmed Deaths		2020-05-26	98937.0	Count
00000	United States	NYTI_NAT_COV04	COVID-19 Confirmed Deaths		2020-05-27	100422.0	Count
00000	United States	NYTI_NAT_COV04	COVID-19 Confirmed Deaths		2020-05-28	101622.0	Count
00000	United States	NYTI_NAT_COV04	COVID-19 Confirmed Deaths		2020-05-29	102812.0	Count
00000	United States	NYTI_NAT_COV04	COVID-19 Confirmed Deaths		2020-05-30	103775.0	Count
00000	United States	NYTI_NAT_COV04	COVID-19 Confirmed Deaths		2020-05-31	104379.0	Count
00000	United States	NYTI_NAT_COV04	COVID-19 Confirmed Deaths		2020-06-01	105113.0	Count
00000	United States	NYTI_NAT_COV04	COVID-19 Confirmed Deaths		2020-06-02	106195.0	Count
00000	United States	NYTI_NAT_COV04	COVID-19 Confirmed Deaths		2020-06-03	107184.0	Count
00000	United States	NYTI_NAT_COV04	COVID-19 Confirmed Deaths		2020-06-04	108194.0	Count
