RegionName	State	Metro	StateCodeFIPS	MunicipalCodeFIPS	SizeRank	2010-01	2010-02	2010-03	2010-04	2010-05	2010-06	2010-07	2010-08	2010-09	2010-10	2010-11	2010-12	2011-01	2011-02	2011-03	2011-04	2011-05	2011-06	2011-07	2011-08	2011-09	2011-10	2011-11	2011-12	2012-01	2012-02	2012-03	2012-04	2012-05	2012-06	2012-07	2012-08	2012-09	2012-10	2012-11	2012-12	2013-01	2013-02	2013-03	2013-04	2013-05	2013-06	2013-07	2013-08	2013-09	2013-10	2013-11	2013-12	2014-01	2014-02	2014-03	2014-04	2014-05	2014-06	2014-07	2014-08	2014-09	2014-10	2014-11	2014-12	2015-01	2015-02	2015-03	2015-04	2015-05	2015-06	2015-07	2015-08	2015-09	2015-10	2015-11	2015-12	2016-01	2016-02	2016-03	2016-04	2016-05	2016-06	2016-07	2016-08	2016-09	2016-10	2016-11	2016-12	2017-01	2017-02	2017-03	2017-04	2017-05	2017-06	2017-07	2017-08	2017-09	2017-10	2017-11	2017-12	2018-01	2018-02	2018-03	2018-04	2018-05	2018-06	2018-07	2018-08	2018-09	2018-10	2018-11	2018-12	2019-01	2019-02	2019-03	2019-04	2019-05	2019-06	2019-07	2019-08
Mecklenburg County	NC	Charlotte-Concord-Gastonia	37	119	49	189900	194500	190000	193900	190000	190000	189350	189900	185381	185000	184900	177897.5	174997.5	175000	175000	179000	179900	179900	179000	178969.5	175000	175000	174900	173990	174900	177930	182315	184900	184900	184900	179900	184945	182000	184900	182400	185000	188250	199400	205999	211990	214467	214000	210000	209971	209900	209000	205000	2.00E+05	198990	2.00E+05	215000	220990	224500	224500	222000	219900	219900	219900	219990	219990	225000	230000	233000	242990	249925	250000	251999	250000	249000	253450	254900	250000	264400	274900	279900	285900	289900	289000	289900	281990	284500	285900	285000	289900	287500	285000	294500	3.00E+05	304900	305000	299000	295005	299900	3.00E+05	3.00E+05	306195	310209	320000	325000	319900	317990	318000	315000	312200	315000	315000	314885	312990	312000	318888	317995	324900	321156.5	320000	318600	314900
Wake County	NC	Raleigh	37	183	56	248000	245000	239900	239999	244900	239900	234994.5	234962.5	234900	234900	234900	229995	229000	227500	225000	229900	230000	230000	229995	230000	229900	232900	230000	229900	229900	230950	235000	235000	235000	234900	230000	231900	229990	232500	232250	234000	234900	239900	247990	249990	254990	260000	259907	259932.5	259900	264900	259900	259900	264900	269900	270990	269900	274845	270041.5	270990	274900	275585	276990	275000	272700	273850	275000	280000	290000	3.00E+05	302990	3.00E+05	305000	299999	304995	308945	302945	309900	309900	314795	315000	319000	315900	318990	320000	322350	324900	325000	325000	325000	334700	339000	347990	349440	343495	341647	344400	345000	349900	349900	349999	354900	354005	355990	357990	360000	364990	359240.5	350000	353000	350000	349900	349900	345000	345000	349000	353250	350000	350000	350000	350000
Guilford County	NC	Greensboro-High Point	37	081	135	159900	159900	159900	159900	159900	159000	155000	154250	152000	153500	153500	149900	149500	145000	144900	145000	149900	150000	149900	149900	149900	149900	147900	144900	139900	140000	146700	149900	150000	149900	145000	142719	139000	140000	139900	139000	139900	144200	145000	149900	149900	153480	152000	149900	149900	149900	149000	145000	149900	149900	155000	159900	165000	162900	165000	164900	159900	157500	159900	157900	162695	163900	162230	169500	179900	179900	178000	174500	173500	169900	169990	169900	169900	164000	170000	179900	180000	182500	179900	179900	177900	180000	179900	179900	179093	175000	179900	189900	189900	190705	189900	185990	184900	182700	179900	179900	178990	179900	185900	190200	192500	193900	189900	189900	189995	189900	189900	190700	194775	196000	207990	212900	214000	214000	214400	207400
Forsyth County	NC	Winston-Salem	37	067	184	154900	156900	159900	159900	158377	155900	154900	151200	149900	149900	149490	145000	144900	145000	145000	145900	147900	146990	147900	145990	144900	141000	140000	139900	138900	139900	144900	149900	149900	144900	146950	144900	144900	144900	146900	144900	143900	144900	145000	149000	149900	149900	149250	149900	150000	149900	149900	147500	149900	155000	157900	159900	159900	159900	157900	154700	150000	149994.5	150000	149945	154900	155000	154900	155000	161900	160000	159900	159900	158000	155600	159900	159900	159990	157945	162900	168000	169900	169900	169900	169900	169500	169000	169900	171945	169925	175000	179900	182900	186500	188400	185000	185000	186845	184900	184900	188500	185000	189000	189915	195000	190000	190000	195542	195000	198000	194945	195900	197000	197700	200950	215000	224900	219900	225000	227700	220000
Cumberland County	NC	Fayetteville	37	051	199																																																		149500	148950	149900	149000	149900	146500	144650	139900	139900	142000	139900	145000	149950	144900	148900	150000	149900	144700	142500	145000	139900	139200	139900	139900	139900	144900	146700	144000	149000	145900	144000	139900	135000	133950	135000	138900	139900	144900	146500	143625	149900	148950	149000	146000	146500	147000	146900	147000	148000	149000	154950	154950	154750	150000	149900	149999	150000	150000	150000	155000	162950	165000	172000	169500	169000	168000	169000
Durham County	NC	Durham-Chapel Hill	37	063	244	178440	179900	185000	184900	182000	179900	179400	178900	175000	174900	175450	174900	174900	174900	174900	174970	174900	175935	174900	175000	170990	174900	174990	169900	169500	175000	179000	178500	175874.5	174500	169990	173700	171900	174000	173900	175000	175000	179900	180994.5	183250	184900	185000	185000	182500	184900	186990	185000	184900	180999	187535	189900	187900	189900	189900	193567.5	190000	199000	199900	199900	199522.5	2.00E+05	2.00E+05	199900	206949.5	211950	215000	219900	221570	225000	227000	226900	229380	229900	224320	230000	235700	236000	240000	240495	244000	240000	239900	244900	249900	250000	249999.5	260000	259900	263240.5	263000	265742.5	264650	268900	274900	279900	287990	290000	294292.5	292000	286000	289865	286000	285000	287892.5	288995	295000	298990	299950	298750	3.00E+05	295000	295000	295000	298000	291650	289900
Buncombe County	NC	Asheville	37	021	269	262450	250000	249500	248750	249900	249900	249900	249000	247000	246000	246900	244900	239000	239000	239500	239700	250000	250000	249900	249900	249900	249900	244950	240000	257000	259900	259000	250000	254950	258450	249900	245000	239000	239900	239000	239000	239900	239000	239900	247000	249900	249900	249900	245000	249900	249900	249900	250000	249000	250000	259000	265000	265000	272000	265000	265000	269900	273683	275000	275000	275000	278900	275000	284500	284950	289000	289900	289900	293500	299000	299900	299600	3.00E+05	3.00E+05	319000	319950	335000	335000	339055.5	339000	334450	339000	339000	338000	334900	339900	349947.5	355000	350000	360000	369000	369000	374900	369900	369900	375000	375000	369900	375000	379000	375000	375000	375000	373468	369900	365900	368000	365000	359000	360000	369000	374900	379900	375000	380000	375000
Gaston County	NC	Charlotte-Concord-Gastonia	37	071	299	139900	139000	138900	139500	139000	135900	135000	134900	135000	134900	134900	132500	130000	129900	126650	125000	125000	127000	128500	129000	126900	125000	129900	128900	125000	124900	124900	120000	124900	121700	120000	121500	119000	114900	114900	114900	115000	124000	129000	134500	135000	137500	134900	134900	135000	139888	135450	134900	132950	134949.5	138500	139900	142744	145000	145000	147900	148900	146900	150000	148900	149000	149500	149120	149000	149000	150000	150000	154900	149900	148370	154945	149990	159900	150740	149900	154900	160990	164700	169900	163699.5	159900	169900	164900	169900	165000	169945	174900	188500	195000	2.00E+05	199950	195000	194400	196150	198900	195900	203650	200400	210000	205900	204900	210000	204900	204900	204900	207000	204900	201840	202450	209000	210000	224500	223745	230000	222000	229900
New Hanover County	NC	Wilmington	37	129	304	260000	250000	251500	250000	250000	249900	249000	244500	239000	234900	229900	227900	225900	224000	224900	224900	224900	225000	224500	224500	223650	225000	224500	219900	222500	223500	225000	225000	228250	229250	225000	229000	225000	224900	222325	220400	219900	229000	235000	244000	241900	249000	249900	249000	250000	244900	245900	247115	244000	245000	249900	253400	250000	239000	235000	234900	230000	230000	230000	230000	229270	233000	234500	239900	243000	247875	249900	245000	251242.5	249950	250000	272000	268700	266337.5	269000	275000	279000	279000	279900	282250	284450	288196	288431	289200	289900	289000	292995	299000	299900	299900	299900	3.00E+05	302900	299900	299000	299900	299900	299900	299000	299900	3.00E+05	299950	299500	295000	299900	297995	299900	309900	312999	312025	308900	311950	309900	305000	304900	314000
Union County	NC	Charlotte-Concord-Gastonia	37	179	305	239900	238384	229900	229500	229895	226500	222400	219900	219900	213990	209990	204900	200745	199900	199900	202990	205450	201900	199900	199900	199000	195000	199000	198900	197493	199250	199990	199999.5	204949.5	209000	204900	199900	199900	199830	199900	2.00E+05	201900	216000	219900	228620	232000	232500	234900	239000	239166	242000	236900	244900	249000	264500	297990	3.00E+05	304000	296450	297250	289000	274900	259900	289900	289900	298950	290000	287700	295000	299900	305000	309900	3.00E+05	299900	325000	334990	306990	321450	340000	349000	339900	339900	352900	359900	359900	368500	364712.5	354900	364900	355495	361950	369900	384900	382900	378000	375000	366700	369000	362000	359907.5	365000	365827	370990	372282	359900	360000	351990	350000	348500	345999	342357	339999	334995	335000	330895	330000	339000	339900	339900	339000	332500
