RegionName	State	Metro	StateCodeFIPS	MunicipalCodeFIPS	SizeRank	2010-01	2010-02	2010-03	2010-04	2010-05	2010-06	2010-07	2010-08	2010-09	2010-10	2010-11	2010-12	2011-01	2011-02	2011-03	2011-04	2011-05	2011-06	2011-07	2011-08	2011-09	2011-10	2011-11	2011-12	2012-01	2012-02	2012-03	2012-04	2012-05	2012-06	2012-07	2012-08	2012-09	2012-10	2012-11	2012-12	2013-01	2013-02	2013-03	2013-04	2013-05	2013-06	2013-07	2013-08	2013-09	2013-10	2013-11	2013-12	2014-01	2014-02	2014-03	2014-04	2014-05	2014-06	2014-07	2014-08	2014-09	2014-10	2014-11	2014-12	2015-01	2015-02	2015-03	2015-04	2015-05	2015-06	2015-07	2015-08	2015-09	2015-10	2015-11	2015-12	2016-01	2016-02	2016-03	2016-04	2016-05	2016-06	2016-07	2016-08	2016-09	2016-10	2016-11	2016-12	2017-01	2017-02	2017-03	2017-04	2017-05	2017-06	2017-07	2017-08	2017-09	2017-10	2017-11	2017-12	2018-01	2018-02	2018-03	2018-04	2018-05	2018-06	2018-07	2018-08	2018-09	2018-10	2018-11	2018-12	2019-01	2019-02	2019-03	2019-04	2019-05	2019-06	2019-07	2019-08	2019-09
Ashe County	NC		37	009	1475	269700	269500	272200	267900	268450	269900	265000	259000	259950	266000	269000	269000	269250	269000	265000	269000	269000	264950	259900	259000	249900	255000	250000	249500	249500	239500	244450	234000	239000	239000	234450	235000	224900	227750	224900	227000	239000	234000	228500	225000	229450	235200	239900	225000	239900	244900	239000	229900	238700	239000	239900	244900	239000	232250	235000	237000	239900	239900	234000	237450	242000	249000	248800	244900	236950	229900	225000	224900	228375	225000	225000	225000	229900	239500	244250	239900	244900	244900	244900	246950	248000	245900	248000	245000	245000	249333	249900	249900	249700	249900	249900	249900	249000	249000	249000	249900	254624.5	250000	249900	256100	255000	260000	259900	259900	259450	255000	256100	257500	252500	259900	259949.5	262900	274000	270000	267900	274900	274450
Currituck County	NC	Virginia Beach-Norfolk-Newport News	37	053	1591	349450	339900	344900	339850	329900	332250	339000	349000	349000	349900	350000	349000	348900	327975	343500	348450	339900	344950	369000	374450	384000	385000	375000	381950	375000	385000	349000	375000	329900	339900	349900	339900	354900	347000	342500	339450	349000	349000	375000	369900	389000	409700	349900	354865	354865	369400	363860	369900	369000	359000	369900	359000	387850	377700	369900	347500	345000	359000	369900	359450	349900	389000	369900	374400	339000	349000	349900	359000	359700	365000	374900	386000	429000	430000	385000	379000	385000	359000	349948.5	362450	362725	379900	374900	369950	374445	369000	374995	385000	382450	379000	375000	364900	360000	365450	377750	355000	342900	336325	345850	346170	339000	359000	349000	349455	353899	359000	361522	359900	358000	362651	374182	380420	379590	373200	369900	375000	379900
Bertie County	NC		37	015	1688																																																																																																									52900	55000	55000	55000	53450	55000	55000	57000	57000	59700	62500	61200	59000
Warren County	NC		37	185	1702																																																																																																			295000	299000	299000	299700	297000	315000	277500	275000	259900	221841	230900	252000	248900	273700	275000	250000	237400	249000	224225
Madison County	NC	Asheville	37	115	1715	299000	275000	252000	259575	252000	259900	252000	254462.5	250000	250000	265000	249900	250000	261962.5	249900	249000	249500	249900	249000	249900	249000	239250	247150	249000	257450	259900	265000	259900	255000	249500	248250	239000	229000	239000	249000	249500	249900	250000	249700	249000	247500	249450	250000	249825	249825	249750	249900	259000	249825	249900	249000	249000	250000	265000	259000	249900	249949.5	249900	248500	249000	249900	258450	249900	249994.5	259200	250000	259000	254500	255000	250000	259000	267000	275000	289900	294950	285000	285000	285000	280000	269700	269500	277000	279999.5	279000	274900	285000	285000	290900	299000	299000	299000	299949.5	299900	310000	320000	327000	304999.5	299999	275000	297499.5	299450	292500	289900	299900	3.00E+05	299000	307500	299450	299900	295000	290000	315000	326000	329000	329000	329000	329000
Polk County	NC		37	149	1724	350000	345000	329450	327000	325000	319000	309450	299000	298500	301000	299250	297000	299000	284000	295000	290950	295000	287777	276500	274900	257700	258000	254950	248000	245000	245000	249000	244950	245000	248000	248500	239000	245000	239000	239000	247000	249900	248500	249900	255000	259000	259900	269450	259000	260950	263500	259000	255000	259000	255000	255000	269000	269900	264400	259950	279000	275000	279000	299900	305950	299900	325000	299999	299949.5	299900	299500	299700	299250	289000	299700	299500	299000	299000	299250	292000	299900	319500	310000	310000	304900	299900	329000	325000	305000	299000	305000	309500	325000	347900	349000	350000	350000	349900	375000	382000	385450	379000	375000	369000	374950	354000	349000	350000	349000	350000	349950	350000	355000	359000	350000	349000	349000	350000	350000	358000	350000	350000
Yancey County	NC		37	199	1814	229000	229000	229000	229000	225000	225000	225000	219900	219900	225000	225000	225000	219950	209500	209000	199900	204950	209000	205500	215000	219000	219000	205450	215000	219000	214500	222000	224150	227250	224900	215000	215000	219450	214900	224300	219450	225000	225000	229000	249000	242000	242450	249000	249900	239450	249000	249000	250000	240000	225000	210000	204900	225000	212000	225000	225000	229000	229000	239000	238700	229000	205000	239900	248000	250000	265000	265000	275000	275000	279000	289000	289000	275000	259900	259000	265000	269999	275000	275000	279000	275000	282000	289000	289000	284000	274900	266250	287000	289700	284900	279900	275000	279000	278950	275000	279000	274800	266950	252500	260000	275000	287000	293500	296000	299000	299000	299000	299000	294000	277000	275000	295000	295000	297500	298000	295000	295000
Avery County	NC		37	011	1817	299000	299000	289950	289900	285000	285000	285000	286250	280000	279900	277000	277000	269900	274900	278500	287000	295000	289900	289700	299000	279900	259900	235000	228900	199000	225000	244000	229000	236450	219900	215000	209950	233500	229000	225000	225000	222450	199900	199900	215000	221000	225000	199000	228000	199900	195000	199900	230000	237500	215000	222500	217900	235000	229950	229000	227600	230000	239900	241000	249900	249900	249900	252000	249000	239000	239900	239900	239900	247900	249900	259900	234450	244000	237450	214950	209450	229000	229000	229000	229700	229500	236250	224000	219000	214900	214900	215000	222800	235000	235000	239000	245000	252500	249000	245000	250000	239000	229900	238000	232900	250000	249000	249250	245000	249731	250000	259450	268750	288500	289707.5	279500	279900	279000	287700	285000	299675	314450
Mitchell County	NC		37	121	1916	199000	198500	196500	189950	189900	189500	197000	179900	179700	180000	180000	178750	174500	175000	178000	176500	175000	170000	174500	170000	169950	179000	179950	179950	180000	185000	175000	179900	186000	179900	189900	190000	180950	185000	182000	184500	185000	189700	188000	189500	185000	188850	188850	181500	189900	193000	189700	187000	185000	180000	170000	167500	184650	187900	184400	184450	184000	178750	179950	184000	180000	188000	189000	189000	185000	189499	189499	184950	189000	189700	191000	185000	190450	195000	195000	193500	198250	198750	199900	199000	199000	199900	199900	199900	199900	199900	199900	199900	199900	217000	219000	208950	215000	209000	199950	199950	191950	189000	189000	199500	199900	215000	205000	201700	219950	219950	225000	229000	225000	225000	218000	227000	229900	234700	235000	235000	235000
Chowan County	NC		37	041	1949																																																																																																				219000	214900	211500	225000	219000	204450	209000	199000	209000	214950	199000	205000	216500	214500	209000	228999.5	229750	228999.5
Swain County	NC		37	173	1982	245000	235000	250000	250000	250000	242450	239000	237900	238450	249000	249000	249000	239000	229500	225000	225000	225000	239000	225000	224900	224900	215000	219000	2.00E+05	199900	199000	199000	198900	199900	199000	199900	201000	205000	199000	199000	199000	199000	199000	196500	199000	199000	199000	199900	199000	189250	189000	189500	192000	194500	189700	185900	195000	197750	196500	199000	199950	199900	2.00E+05	202500	205000	199900	210000	207000	225000	227000	215000	212500	215000	204250	225000	225000	222000	215000	205000	221950	215000	209450	215000	209900	216900	219850	225000	219000	219000	225000	225000	235000	235000	239500	240000	244950	239900	249900	254000	249900	249900	259000	249450	249900	249000	237000	248450	255000	255250	262000	275000	277000	279000	275000	282450	285000	279450	264950	249900	239000	249000	239500
Perquimans County	NC	Elizabeth City	37	143	2010	275000	239900	239900	244500	230000	225000	221500	217000	218950	218950	218000	224900	209500	214500	207500	222400	205000	205000	199900	199450	199450	199950	199900	194950	198900	187000	179950	188500	188500	180000	179900	170000	184500	189000	189000	189000	217400	208700	199900	224950	219900	219900	213700	199900	199900	197000	196000	194000	189900	193500	197950	199450	189000	188944	189000	179900	184250	182900	189900	190000	192950	189250	185500	196450	199000	199000	199500	198500	199000	209450	209000	199250	189700	177450	208000	209000	209000	204500	206500	206500	212000	217000	210990	209950	210000	209950	215450	219900	225900	235000	242450	239000	239000	235000	229950	227450	225000	228500	228500	228000	229000	229000	225900	229500	220000	220000	224900	220000	219000	199900	199900	215000	215000	198500	227000	240950	265000
Washington County	NC		37	187	2020																																																																																																				92400	98000	98950	99700	92400	89700	89900	89900	92450	89000	89700	94500	99450	99900	95000	89450	89000	87000
Pamlico County	NC	New Bern	37	137	2022	289394	272200	287950	286900	289950	298500	298000	298250	298500	299900	309000	298500	299000	299700	309000	299900	299000	298000	299500	299000	299000	290000	267250	269250	265000	262500	262500	249250	249950	255000	249000	235000	249500	249500	235000	239500	249000	249500	249500	256450	274000	275000	267000	264900	249900	249000	249000	249900	240000	247000	249000	249000	259000	257000	259450	259900	260000	270250	269500	260000	259900	233250	249900	259000	257000	264750	260000	264900	270250	260000	252400	249900	249700	260000	242900	249500	249900	249250	249500	249700	267500	259450	259900	259000	257000	259000	249900	259900	264000	269500	268750	260000	259950	259000	249000	249000	249000	242000	249500	263700	249250	249750	256500	254999.5	259900	264900	264900	259000	249900	249950	250000	252499.5	264900	269900	261450	261450	269250
Alleghany County	NC		37	005	2083	229000	227450	225900	235250	229900	227000	224000	225000	224000	221950	223450	215900	212000	199900	199900	199900	202450	207000	199900	199900	215000	189000	199900	199900	229000	219000	215000	199450	199000	190000	198000	199900	182500	191400	200750	199900	209000	199900	193800	189700	196750	198600	205000	196750	215450	220000	220000	216500	207000	214000	219950	225000	225000	225000	209000	199900	189950	189000	184800	191000	195000	192500	199900	220000	219000	201700	179900	175000	174900	184000	184950	169900	169900	169900	189900	195000	205000	215000	205000	199000	199900	199500	219450	199900	215000	199900	210000	219900	221950	239950	229900	230000	229900	224000	225000	224900	207000	205000	224450	234000	238250	239900	239900	239000	232000	232000	229900	229900	229900	236000	229000	237000	238000	244250	249000	248250	237000
Clay County	NC		37	043	2107	239800	239000	239000	239900	239900	244000	234250	239000	239900	239450	231700	229450	214229.5	209000	199450	199900	199900	199900	199900	199900	199950	2.00E+05	199999	205000	205000	204500	204500	180000	171125	174900	174900	179250	174900	169000	169000	198500	219000	215000	199900	215000	225000	229000	224900	219000	219000	205000	224900	219900	214987	216250	214993.5	219900	218250	214993.5	209000	199900	199900	202499.5	199900	199900	199900	199500	199900	209000	239450	235000	229000	229000	239900	249000	239900	239500	229000	229000	229000	239000	249900	239900	230950	229000	229900	229000	229150	229900	229000	227400	229900	235000	239900	249000	244900	249000	249900	249900	249900	249000	259000	249000	259900	259900	258000	249000	246750	249000	249450	249000	247500	245250	249900	249000	249999.5	252500	252000	259000	259900	259000	265000
Camden County	NC	Elizabeth City	37	029	2129	275000	274900	259900	259900	250000	253582	254500	249900	251082	249250	239900	237450	239900	240000	262450	257450	250000	277500	285000	289900	268100	259250	248444	238500	237500	242250	239900	235000	229900	230000	229900	232250	231125	209000	209000	209900	232250	237250	232250	232250	228500	232400	229900	231375	234900	229000	229000	229900	229900	230000	236250	235000	235000	239700	239700	236950	235450	229000	224000	229000	236900	238400	239900	249500	240000	239000	235000	234700	246000	259900	254900	252400	249900	249500	249900	249900	259900	259900	277400	268950	269900	274900	268950	264494	262500	267494	272200	268500	255000	252950	253950	265900	265900	250000	249900	250000	250000	250000	268700	274900	268700	271250	265000	254500	249900	265900	274900	279450	274950	297900	289900	285450	285900	279900	285900	289000	289000
Graham County	NC		37	075	2169	302450	289000	289000	272200	269900	259900	259900	259900	239000	239000	239000	239000	229900	205950	199900	199000	199900	199000	199900	199000	196500	199000	195000	187000	184950	184900	190000	174950	177000	171950	175000	181500	193500	199500	189000	199000	190000	190000	175000	170000	189000	169999	179000	169900	174000	175000	169949.5	174000	174500	174000	184000	189900	185000	174900	175000	175000	175000	169900	169900	172000	169450	185000	184900	169000	169450	149950	169000	169700	173750	179000	175000	179000	173000	179900	171000	179000	179900	191500	191500	179450	185900	179450	189000	189000	179900	178750	183000	198750	193750	198750	194000	185500	199947.5	209000	209450	231950	239900	239000	219000	257000	249900	239000	239000	230000	244900	249900	249900	249900	259000	264000	269000	263000	249000	239000	239000	252000	250000
Hyde County	NC		37	095	2246																																																																																																					322500	299000	325000	312000	299000	298250	297500	325000	339000	364900	350000	354950	364950	359900	365000	365000	350000
