Series ID	Region Name	Region Code	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
NCALAM1LFN	Alamance County, NC	37001	61496.0	62239.916666666664	62656.5	62948.916666666664	63510.833333333336	64538.583333333336	66697.33333333333	67971.91666666667	67744.66666666667	68352.91666666667	69592.33333333333	69144.08333333333	69094.91666666667	70121.25	69220.41666666667	68709.66666666667	69614.75	69983.41666666667	71183.91666666667	71389.16666666667	76806.25	77265.5	77999.91666666667	77240.75	76788.33333333333	77316.08333333333	78947.41666666667	79983.75	80583.5	81968.25
NCALEX3LFN	Alexander County, NC	37003	16045.416666666668	16384.833333333332	16386.75	16541.25	16935.333333333332	17113.75	17379.0	17552.166666666668	17396.333333333332	17795.916666666668	19441.333333333332	19263.916666666668	18664.166666666668	18578.166666666668	18540.666666666668	18233.416666666668	18499.666666666668	18206.0	18214.666666666668	18177.5	18259.333333333332	17893.083333333332	17674.083333333332	17479.333333333332	17461.916666666668	17546.5	17834.75	17982.75	18022.916666666668	18272.833333333332
NCALLE5LFN	Alleghany County, NC	37005	4851.75	4971.583333333333	5074.5	4902.666666666667	4913.166666666667	5320.333333333333	5622.083333333333	5706.416666666667	5653.583333333333	5952.083333333333	5652.333333333333	5279.666666666667	4855.75	4907.666666666667	4871.0	4873.5	4950.0	4898.0	4548.666666666667	4666.583333333333	4747.166666666667	4630.25	4603.666666666667	4418.083333333333	4390.083333333333	4468.666666666667	4426.083333333333	4364.416666666667	4304.5	4393.833333333333
NCANSO7LFN	Anson County, NC	37007	11754.916666666668	12145.833333333332	12412.25	11752.166666666668	11572.25	11545.583333333332	11529.833333333332	11575.666666666668	11329.583333333332	10737.833333333334	11044.916666666668	11303.666666666668	11051.833333333332	10984.25	10872.0	10561.833333333334	10669.583333333334	10301.583333333334	10251.416666666666	10096.166666666666	11179.75	11098.5	11057.583333333332	10919.166666666668	10916.333333333332	10832.833333333334	10660.333333333334	10530.0	10406.833333333334	10567.25
NCASHE9LFN	Ashe County, NC	37009	11378.0	11618.0	11619.666666666668	11730.166666666668	11553.666666666668	11841.416666666668	11838.666666666668	11679.416666666668	11414.0	11797.0	12532.25	12681.75	12613.416666666668	12876.833333333332	12818.5	12759.333333333332	12816.583333333332	13077.833333333332	12550.666666666668	12547.0	13721.916666666668	13245.583333333332	13185.916666666668	12855.0	12410.25	12315.666666666668	12508.416666666668	12668.666666666668	12749.583333333332	12941.333333333332
NCAVER1LFN	Avery County, NC	37011	7310.25	7324.333333333333	7354.0	7289.0	7266.0	7524.75	7740.666666666667	7930.833333333333	7957.416666666667	8147.666666666667	7963.583333333333	8065.75	7614.0	8053.25	8067.5	7961.25	8018.0	8257.0	8825.75	8985.75	7944.333333333333	7765.583333333333	7742.916666666667	7684.166666666667	7649.25	7534.666666666667	7575.5	7642.0	7639.0	7622.416666666667
NCBEAU3LFN	Beaufort County, NC	37013	20566.25	20453.0	20715.916666666668	19886.583333333332	19728.75	20020.833333333332	20494.333333333332	21129.583333333332	20622.25	20672.0	20737.416666666668	20097.416666666668	19627.666666666668	20129.75	19990.916666666668	20197.333333333332	20572.416666666668	21313.25	20743.0	20790.583333333332	21170.5	21473.083333333332	21046.75	20457.083333333332	20085.833333333332	20124.75	20308.0	19999.25	19739.166666666668	19755.25
NCBERT5LFN	Bertie County, NC	37015	9038.5	9123.75	9282.083333333334	8964.166666666666	9036.75	9431.333333333334	9430.5	9288.5	9003.833333333334	8878.333333333334	8400.083333333334	8318.75	8142.333333333333	8487.916666666666	8355.333333333334	8768.916666666666	8731.666666666666	8818.166666666666	8693.5	9016.5	9191.166666666666	9070.166666666666	8668.166666666666	8460.5	8520.416666666666	8606.416666666666	8437.0	8083.333333333333	7831.416666666667	7861.833333333333
NCBLAD7LFN	Bladen County, NC	37017	13465.166666666668	13703.5	14376.75	15351.25	16477.416666666668	17795.333333333332	19545.583333333332	20266.666666666668	20279.083333333332	20481.166666666668	14713.083333333332	14955.5	14744.833333333332	15052.583333333332	15642.333333333332	15439.5	15232.25	15668.0	15443.916666666668	15349.666666666668	15193.666666666668	14862.833333333332	14449.666666666668	14348.75	14292.916666666668	14745.416666666668	14569.5	14427.5	14418.666666666668	14752.583333333332
NCBRUN9LFN	Brunswick County, NC	37019	24702.5	25884.916666666668	27201.333333333332	28043.25	28717.416666666668	29419.166666666668	31044.0	32329.083333333332	33305.666666666664	35001.5	35564.0	36921.333333333336	37530.0	39244.333333333336	40333.333333333336	42827.083333333336	46535.0	47823.166666666664	49932.25	50979.333333333336	46528.25	47015.5	47347.25	47686.916666666664	47691.833333333336	48557.333333333336	49708.083333333336	51356.0	52867.583333333336	55174.583333333336
