GeoFIPS	GeoName	Region	TableName	LineCode	IndustryClassification	Description	Unit	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
" ""37000"""	North Carolina	5.0	CAINC6N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	4915747	5339435	5525858	6082355	6520801	7006884	7377038	7908882	7296174	7723041	8363448	9108456	9031959	9804121	10413133	10454321	10719969	10900867
" ""37001"""	Alamance, NC	5.0	CAINC6N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	178065	183138	172229	204242	204088	210583	224246	261241	171738	178707	187589	184769	42146	38670	28939	36819	55881	53854
" ""37003"""	Alexander, NC	5.0	CAINC6N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	(D)	(D)	(D)	5273	3582	2677	2331	2516	2128	1974	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
" ""37005"""	Alleghany, NC	5.0	CAINC6N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	0	0	0	0	0	0	0	0	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
" ""37007"""	Anson, NC	5.0	CAINC6N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
" ""37009"""	Ashe, NC	5.0	CAINC6N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	8661	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	11117
" ""37011"""	Avery, NC	5.0	CAINC6N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	(D)	(D)	0	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
" ""37013"""	Beaufort, NC	5.0	CAINC6N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	4552	4541	4830	4985	5260	10780	13081	11747
" ""37015"""	Bertie, NC	5.0	CAINC6N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	0	(D)	0	0	0	0	0	0	0	0	0	0	0	0	(D)	(D)	(D)	(D)
" ""37017"""	Bladen, NC	5.0	CAINC6N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	1708	(D)	(D)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(D)
" ""37019"""	Brunswick, NC	5.0	CAINC6N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	(D)	758	971	1064	1189	732	709	1004	786	698	660	578	129	(D)	(D)	206	363	486
" ""37021"""	Buncombe, NC	5.0	CAINC6N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	48059	29542	27862	39901	40096	46789	54324	57930	57047	57918	51058	56992	62551	61869	64171	65262	70090	74282
" ""37023"""	Burke, NC	5.0	CAINC6N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	23289	24163	19811	36866	36086	36574	22401	20459	7267	4655	3536	3470	2378	2229	2782	3219	4163	4370
" ""37025"""	Cabarrus, NC	5.0	CAINC6N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	28176	65420	66856	72033	75182	89543	94558	81976	65815	67901	68160	72372	77605	87426	92973	98654	104937	81975
" ""37027"""	Caldwell, NC	5.0	CAINC6N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	57224	57659	53379	43143	20670	(D)	29945	31601	30626	31778	35982	39437	37660
" ""37029"""	Camden, NC	5.0	CAINC6N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	0	0	0	0	0	0	(D)	(D)	(D)	0	0	0	0	0	0	0	0	0
" ""37031"""	Carteret, NC	5.0	CAINC6N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	1703	1896	1474	880	1089	1208	1461	1280	1283	954	1212	1078	912	862	566	(D)	679	695
" ""37033"""	Caswell, NC	5.0	CAINC6N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	0	0	0	0	0	0	0	0	0	0	0	0	0
" ""37035"""	Catawba, NC	5.0	CAINC6N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	87642	136677	129425	128377	132693	201316	215124	227021	170576	175485	220127	201665	190233	190109	206503	219172	225986	228751
" ""37037"""	Chatham, NC	5.0	CAINC6N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	(D)	(D)	(D)	2314	1734	2342	2925	3094	3187	3189	3579	(D)	2265	1889	2216	2356	3611	3067
" ""37039"""	Cherokee, NC	5.0	CAINC6N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	1101	(D)	(D)	924	937	964	1012	852	985	923	736	782	783	737	751	617	713	684
