GeoFIPS	GeoName	Region	TableName	LineCode	IndustryClassification	Description	Unit	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
" ""37000"""	North Carolina	5.0	CAINC6N	1800.0	72	   Accommodation and food services	Thousands of dollars	4447089	4581414	4833564	5217617	5463139	5821376	6291739	6455292	6289415	6473182	6714190	7331675	7613689	8171994	8707504	9219482	9704507	10192646
" ""37001"""	Alamance, NC	5.0	CAINC6N	1800.0	72	   Accommodation and food services	Thousands of dollars	63768	68667	72758	79107	83272	90122	97727	101754	101445	107016	112093	119392	121194	123417	128781	137524	144300	155579
" ""37003"""	Alexander, NC	5.0	CAINC6N	1800.0	72	   Accommodation and food services	Thousands of dollars	6669	6946	8109	9160	9029	9046	8875	8564	7766	7379	7460	7765	7776	8078	9386	9817	10351	10795
" ""37005"""	Alleghany, NC	5.0	CAINC6N	1800.0	72	   Accommodation and food services	Thousands of dollars	2349	2432	3136	2928	3869	4099	4487	3571	3910	4076	3381	3322	3331	3361	3439	3406	3940	3522
" ""37007"""	Anson, NC	5.0	CAINC6N	1800.0	72	   Accommodation and food services	Thousands of dollars	(D)	(D)	4492	4782	5317	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
" ""37009"""	Ashe, NC	5.0	CAINC6N	1800.0	72	   Accommodation and food services	Thousands of dollars	6698	6688	(D)	(D)	7730	(D)	9131	9356	9273	9777	9823	9426	9748	10934	11479	11916	12660	14744
" ""37011"""	Avery, NC	5.0	CAINC6N	1800.0	72	   Accommodation and food services	Thousands of dollars	12622	12978	15470	16796	17128	18575	19001	20255	20760	21672	16986	18643	18141	19010	19178	20075	21135	22616
" ""37013"""	Beaufort, NC	5.0	CAINC6N	1800.0	72	   Accommodation and food services	Thousands of dollars	14009	14657	15175	16359	18358	18917	18575	18671	18840	20477	20870	20533	20108	21066	23746	23275	25066	26942
" ""37015"""	Bertie, NC	5.0	CAINC6N	1800.0	72	   Accommodation and food services	Thousands of dollars	1826	1836	1837	1826	1587	1920	(D)	(D)	(D)	(D)	2767	(D)	(D)	2539	2113	2159	2265	2743
" ""37017"""	Bladen, NC	5.0	CAINC6N	1800.0	72	   Accommodation and food services	Thousands of dollars	6560	6574	(D)	7884	(D)	(D)	(D)	(D)	(D)	8586	8547	8980	8575	(D)	10230	9663	10751	10959
" ""37019"""	Brunswick, NC	5.0	CAINC6N	1800.0	72	   Accommodation and food services	Thousands of dollars	30935	32983	35978	49188	49624	55783	60306	59904	58198	61354	64327	70957	77248	83138	89102	97790	103978	110662
" ""37021"""	Buncombe, NC	5.0	CAINC6N	1800.0	72	   Accommodation and food services	Thousands of dollars	180317	193207	204262	220541	234152	255777	292643	292854	280744	289828	302317	337315	369224	400978	435502	468315	509922	512763
" ""37023"""	Burke, NC	5.0	CAINC6N	1800.0	72	   Accommodation and food services	Thousands of dollars	29273	29492	29681	31527	29891	31143	31769	31719	30218	30508	31035	33315	35321	41020	45663	48339	50841	56319
" ""37025"""	Cabarrus, NC	5.0	CAINC6N	1800.0	72	   Accommodation and food services	Thousands of dollars	69842	74306	80559	91195	102996	110954	128117	132885	127989	128574	131517	155111	168402	174727	187695	202273	218555	236406
" ""37027"""	Caldwell, NC	5.0	CAINC6N	1800.0	72	   Accommodation and food services	Thousands of dollars	18736	18994	18790	20621	20467	21234	22035	23552	23720	24195	25500	28172	28501	29305	32166	32849	34615	34989
" ""37029"""	Camden, NC	5.0	CAINC6N	1800.0	72	   Accommodation and food services	Thousands of dollars	(D)	1079	990	1156	863	(D)	(D)	(D)	340	(D)	624	(D)	(D)	(D)	(D)	(D)	(D)	(D)
" ""37031"""	Carteret, NC	5.0	CAINC6N	1800.0	72	   Accommodation and food services	Thousands of dollars	49240	48478	53014	56947	58945	61030	64916	66613	65520	65920	67205	71798	75387	79466	83782	88899	94011	96074
" ""37033"""	Caswell, NC	5.0	CAINC6N	1800.0	72	   Accommodation and food services	Thousands of dollars	(D)	(D)	(D)	(D)	1463	1707	1887	2000	1834	(D)	1904	2029	1894	1773	1998	(D)	2436	3337
" ""37035"""	Catawba, NC	5.0	CAINC6N	1800.0	72	   Accommodation and food services	Thousands of dollars	108940	94652	95996	99417	101386	107030	110262	108093	102007	112357	112208	118379	121809	129074	134553	143834	147504	154818
" ""37037"""	Chatham, NC	5.0	CAINC6N	1800.0	72	   Accommodation and food services	Thousands of dollars	11497	12329	11426	13066	14278	15924	17358	18185	18615	18721	21186	24789	26923	28628	28937	29306	33128	34165
" ""37039"""	Cherokee, NC	5.0	CAINC6N	1800.0	72	   Accommodation and food services	Thousands of dollars	9742	10041	10650	11752	(D)	12338	13073	13281	12912	12338	12378	13311	16612	17984	18816	19960	21038	23298
" ""37041"""	Chowan, NC	5.0	CAINC6N	1800.0	72	   Accommodation and food services	Thousands of dollars	(D)	(D)	5201	5905	5902	6142	6768	6666	6241	5893	6100	6965	6622	6554	7027	7316	7106	7716
" ""37043"""	Clay, NC	5.0	CAINC6N	1800.0	72	   Accommodation and food services	Thousands of dollars	1681	(D)	2386	2607	2732	(D)	(D)	(D)	2793	(D)	(D)	(D)	4021	(D)	(D)	(D)	(D)	(D)
" ""37045"""	Cleveland, NC	5.0	CAINC6N	1800.0	72	   Accommodation and food services	Thousands of dollars	28635	30765	31309	32621	34018	34795	38309	38475	36368	38013	39676	41391	43604	47615	50760	53609	52649	57145
" ""37047"""	Columbus, NC	5.0	CAINC6N	1800.0	72	   Accommodation and food services	Thousands of dollars	11879	10445	11910	12751	11455	11695	13568	14380	15280	15100	(D)	(D)	18441	18991	19236	19642	21427	22717
" ""37049"""	Craven, NC	5.0	CAINC6N	1800.0	72	   Accommodation and food services	Thousands of dollars	36376	38545	42053	45666	47318	54026	60785	64479	63944	58468	61735	65429	65786	68244	73889	81240	79118	80433
" ""37051"""	Cumberland, NC	5.0	CAINC6N	1800.0	72	   Accommodation and food services	Thousands of dollars	134833	145961	158329	170404	174188	186782	197489	216853	218603	217819	225339	241907	246615	259859	262710	273868	286922	297477
" ""37053"""	Currituck, NC	5.0	CAINC6N	1800.0	72	   Accommodation and food services	Thousands of dollars	7369	8686	9919	9021	10056	11415	12161	11902	11208	10911	11235	12991	15029	16295	17181	19229	20241	23121
" ""37055"""	Dare, NC	5.0	CAINC6N	1800.0	72	   Accommodation and food services	Thousands of dollars	75282	81181	84449	89577	89207	94624	100179	101697	100665	102530	105605	117667	120713	127794	136914	139131	143940	149692
" ""37057"""	Davidson, NC	5.0	CAINC6N	1800.0	72	   Accommodation and food services	Thousands of dollars	41783	44009	45332	47258	50042	51084	53026	53132	53751	54206	57079	62599	63619	66388	68396	70176	71487	73401
" ""37059"""	Davie, NC	5.0	CAINC6N	1800.0	72	   Accommodation and food services	Thousands of dollars	7766	8811	9991	11557	11465	12334	13617	13799	12997	12614	13547	14799	15800	16469	17573	19803	19745	19675
" ""37061"""	Duplin, NC	5.0	CAINC6N	1800.0	72	   Accommodation and food services	Thousands of dollars	11315	14122	15713	15752	15559	14691	14269	14489	14835	15821	15487	17629	18095	(D)	20401	20070	20415	(D)
" ""37063"""	Durham, NC	5.0	CAINC6N	1800.0	72	   Accommodation and food services	Thousands of dollars	183315	201157	216069	232985	236845	245706	264359	285264	275949	284849	295033	314424	323534	352026	372726	395103	412606	425783
" ""37065"""	Edgecombe, NC	5.0	CAINC6N	1800.0	72	   Accommodation and food services	Thousands of dollars	15473	15719	15422	17449	17627	18265	17554	17954	14823	15349	15595	17905	17441	18824	18078	20223	18361	18424
" ""37067"""	Forsyth, NC	5.0	CAINC6N	1800.0	72	   Accommodation and food services	Thousands of dollars	213536	221462	234052	243010	248221	255321	268377	281091	276807	277279	292859	317067	320986	339689	362888	389962	412016	432677
" ""37069"""	Franklin, NC	5.0	CAINC6N	1800.0	72	   Accommodation and food services	Thousands of dollars	5063	5527	6388	6843	7154	7660	8166	8670	9381	9706	10368	11386	10490	11964	13234	13734	14385	15231
