Series ID	Region Name	Region Code	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
NCCALD0POP	Caldwell County, NC	37027	56.699	57.9	59.3	61.0	62.3	63.0	63.6	64.3	65.4	66.4	67.746	67.994	68.057	67.6	68.656	69.94	69.736	70.094	70.818	70.784	70.846	71.267	71.743	72.472	72.953	73.822	74.599	75.525	75.995	76.663	77.641	78.173	78.542	78.649	78.387	78.76	79.044	79.346	79.874	79.748	83.021	82.44	82.072	82.044	81.665	81.512	81.767	81.92	82.029
NCCAMD9POP	Camden County, NC	37029	5.453	5.5	5.6	5.8	5.7	5.8	5.6	5.6	5.7	5.8	5.829	5.682	5.675	5.714	5.704	5.597	5.572	5.643	5.705	5.803	5.937	6.025	6.146	6.193	6.346	6.366	6.482	6.662	6.764	6.801	6.92	7.077	7.372	7.83	8.326	8.872	9.175	9.403	9.613	9.69	10.009	10.022	10.001	10.115	10.276	10.284	10.402	10.561	10.71
NCCART1POP	Carteret County, NC	37031	31.603	33.0	33.8	35.2	36.2	37.4	38.7	39.6	40.4	41.0	41.092	42.447	43.762	45.496	47.089	48.32	49.663	50.603	51.168	51.591	52.687	53.368	54.434	55.258	55.794	57.035	57.983	58.874	59.224	59.341	59.36	59.649	60.054	60.684	61.607	62.168	63.164	63.213	63.462	64.211	66.698	67.405	67.763	68.384	68.634	68.711	68.811	68.919	69.524
NCCASW3POP	Caswell County, NC	37033	19.055	19.4	19.6	20.1	20.2	20.4	20.5	20.4	20.4	20.4	20.705	20.855	21.416	21.401	21.567	21.577	21.475	21.294	21.071	20.919	20.671	20.841	20.864	21.172	21.436	21.79	21.969	22.778	23.002	23.255	23.513	23.5	23.561	23.526	23.39	23.314	23.377	23.224	23.143	22.884	23.753	23.457	23.045	23.098	22.811	22.822	22.765	22.632	22.698
NCCATA5POP	Catawba County, NC	37035	90.873	93.4	95.4	97.4	98.7	99.1	99.2	100.5	101.8	103.3	105.208	106.575	107.754	109.006	110.421	112.094	113.193	114.652	116.245	117.332	118.945	120.669	122.338	124.28	126.504	129.003	131.957	134.311	137.024	139.522	142.529	145.415	146.292	146.94	148.741	150.727	153.05	155.705	157.665	158.953	154.766	154.484	154.729	155.012	155.139	155.571	156.471	157.811	158.652
NCCHAT7POP	Chatham County, NC	37037	29.554	30.4	30.4	30.5	30.6	31.1	31.6	32.0	32.7	33.4	33.415	33.983	34.43	34.688	35.33	35.811	36.592	36.992	37.587	38.254	39.216	40.107	41.014	41.873	42.766	43.886	45.166	46.339	47.291	48.398	49.815	51.712	54.245	55.612	56.945	57.903	59.85	61.481	63.441	64.649	63.84	64.102	64.531	65.244	66.665	68.256	69.646	71.248	73.139
NCCHER9POP	Cherokee County, NC	37039	16.33	16.7	16.9	16.9	17.1	17.7	18.3	18.4	18.5	18.6	18.933	19.158	19.302	19.314	19.529	19.675	19.665	20.033	20.255	20.181	20.226	20.377	20.531	20.899	21.485	21.98	22.327	22.851	23.427	23.956	24.319	24.48	24.621	24.849	25.148	25.439	26.099	26.46	26.542	26.274	27.431	27.173	27.027	27.119	27.075	27.098	27.805	27.98	28.383
NCCHOW1POP	Chowan County, NC	37041	10.764	10.9	11.0	11.0	11.1	11.4	11.8	12.1	12.6	12.6	12.558	12.564	12.585	12.684	12.899	13.056	13.23	13.406	13.505	13.462	13.54	13.66	13.807	13.894	14.011	14.09	14.324	14.391	14.436	14.558	14.444	14.483	14.573	14.562	14.623	14.694	14.923	15.07	14.982	15.095	14.737	14.806	14.695	14.668	14.504	14.249	14.201	14.04	14.029
NCCLAY3POP	Clay County, NC	37043	5.18	5.3	5.3	5.5	5.5	5.8	5.8	5.9	6.2	6.5	6.619	6.789	6.878	6.923	7.025	7.005	7.168	7.173	7.189	7.134	7.167	7.251	7.292	7.47	7.699	7.889	8.022	8.267	8.499	8.649	8.798	9.038	9.202	9.333	9.46	9.68	9.923	10.149	10.264	10.289	10.607	10.682	10.651	10.595	10.562	10.619	10.743	11.001	11.139
NCCLEV0POP	Cleveland County, NC	37045	72.556	74.7	76.3	77.6	79.0	80.3	80.9	81.2	81.8	82.3	83.435	83.376	83.144	82.675	83.289	84.172	83.658	83.583	83.91	84.43	85.221	86.159	87.395	88.37	89.21	90.738	92.037	93.017	94.224	95.293	96.421	97.072	97.414	97.684	97.643	97.409	97.632	98.295	99.038	99.192	97.919	97.431	97.314	96.874	97.018	96.885	97.017	97.228	97.645
NCCOLU0POP	Columbus County, NC	37047	46.937	48.0	48.5	49.3	49.5	49.9	50.7	50.8	51.0	50.9	51.037	51.226	50.859	50.733	50.78	50.675	50.463	50.724	50.205	50.144	49.559	49.927	50.518	51.172	51.691	52.177	52.905	53.587	54.121	54.522	54.724	54.538	54.462	54.187	54.044	53.8	53.998	54.036	54.289	55.457	57.975	57.683	57.521	57.071	56.878	56.666	56.279	55.987	55.655
NCCRAV5POP	Craven County, NC	37049	62.554	64.5	65.7	68.2	67.6	69.5	71.6	71.4	71.6	70.9	71.043	72.236	73.774	74.848	76.998	79.439	79.809	79.589	80.758	81.098	82.131	83.304	84.429	84.211	84.458	85.998	87.618	89.128	90.041	90.843	91.795	93.185	92.386	92.513	92.935	93.974	95.358	95.508	96.337	98.065	104.176	104.829	105.325	104.302	104.078	102.906	102.76	102.754	102.912
