,GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
0," ""37000""",North Carolina,5.0,CAINC6N,400.0,23,   Construction,Thousands of dollars,9172824,8815876,8845270,9505904,10399913,11545978,12436153,11815148,9688298,9062976,9027920,9364836,9641491,10447971,11446616,12507167,13414372,14663010
1," ""37001""","Alamance, NC",5.0,CAINC6N,400.0,23,   Construction,Thousands of dollars,126171,118851,125748,145235,138173,145452,160745,148154,121282,117555,109973,114704,122374,127550,133403,144928,155441,159941
2," ""37003""","Alexander, NC",5.0,CAINC6N,400.0,23,   Construction,Thousands of dollars,9575,8733,9941,10395,10779,(D),(D),9506,8082,7615,7413,7700,7805,9007,9213,10044,11341,9910
3," ""37005""","Alleghany, NC",5.0,CAINC6N,400.0,23,   Construction,Thousands of dollars,7263,6289,5695,6844,6979,7286,8319,8576,6266,5745,5802,5283,5065,5279,5308,5150,4651,5088
4," ""37007""","Anson, NC",5.0,CAINC6N,400.0,23,   Construction,Thousands of dollars,9169,13425,9159,8587,12058,11607,10727,11981,9896,10375,8458,6530,5143,5597,8685,9884,11289,12739
5," ""37009""","Ashe, NC",5.0,CAINC6N,400.0,23,   Construction,Thousands of dollars,24587,22661,23586,25792,27289,31752,34232,32679,24357,23800,22857,26277,25476,29275,32404,39632,44820,45716
6," ""37011""","Avery, NC",5.0,CAINC6N,400.0,23,   Construction,Thousands of dollars,15299,15609,16251,17191,20983,24391,26906,25196,17837,15889,15609,14494,14445,16072,17854,16854,17891,21215
7," ""37013""","Beaufort, NC",5.0,CAINC6N,400.0,23,   Construction,Thousands of dollars,26650,32749,27623,23597,33614,36492,39768,32467,27999,21656,19006,20305,24266,26742,26912,28584,30610,31658
8," ""37015""","Bertie, NC",5.0,CAINC6N,400.0,23,   Construction,Thousands of dollars,3451,3656,(D),(D),10094,(D),6459,5760,5319,3218,2952,2569,2974,3003,2915,(D),(D),(D)
9," ""37017""","Bladen, NC",5.0,CAINC6N,400.0,23,   Construction,Thousands of dollars,8931,6960,8732,10051,10044,11201,11852,12374,8631,8696,9252,8674,9490,10539,13185,13922,13497,14118
10," ""37019""","Brunswick, NC",5.0,CAINC6N,400.0,23,   Construction,Thousands of dollars,75831,72588,82744,93461,101106,110875,110791,93977,79140,72647,64754,67397,78909,90023,98666,103514,116993,116646
11," ""37021""","Buncombe, NC",5.0,CAINC6N,400.0,23,   Construction,Thousands of dollars,257375,245864,237712,259160,290461,298518,339434,324673,263411,237051,224603,229955,215750,244145,287560,302146,336708,416862
12," ""37023""","Burke, NC",5.0,CAINC6N,400.0,23,   Construction,Thousands of dollars,31884,25313,24201,27168,27034,29920,32139,33646,24976,21625,20547,21248,21562,24212,27672,30040,29661,34504
13," ""37025""","Cabarrus, NC",5.0,CAINC6N,400.0,23,   Construction,Thousands of dollars,173658,168675,164003,180735,200060,216697,244536,221451,170533,149572,142915,159743,179621,196060,209266,231304,238489,254695
14," ""37027""","Caldwell, NC",5.0,CAINC6N,400.0,23,   Construction,Thousands of dollars,34248,30778,30841,30795,33956,37017,40464,36386,27355,25460,22859,25259,31712,23798,24720,30066,31319,36785
15," ""37029""","Camden, NC",5.0,CAINC6N,400.0,23,   Construction,Thousands of dollars,2572,2633,3266,3714,5447,10586,11081,7891,5518,4825,4194,3780,3225,3584,3487,3852,3926,4132
16," ""37031""","Carteret, NC",5.0,CAINC6N,400.0,23,   Construction,Thousands of dollars,40887,38388,42182,51328,57882,68014,70159,69382,60358,54811,45742,47143,45782,49303,53484,55367,72366,73983
17," ""37033""","Caswell, NC",5.0,CAINC6N,400.0,23,   Construction,Thousands of dollars,6434,6779,6210,6208,6240,8198,9898,7547,7126,6504,5628,4680,5603,7011,9753,9668,11417,17403
18," ""37035""","Catawba, NC",5.0,CAINC6N,400.0,23,   Construction,Thousands of dollars,137373,125551,109254,106852,118308,136098,146497,137630,118980,125293,108251,97108,103716,112653,111356,122914,144381,164655
19," ""37037""","Chatham, NC",5.0,CAINC6N,400.0,23,   Construction,Thousands of dollars,33009,26124,26081,28535,32969,40451,42468,37344,32880,31099,32685,32239,36945,37296,40214,46332,51865,54633
20," ""37039""","Cherokee, NC",5.0,CAINC6N,400.0,23,   Construction,Thousands of dollars,18176,17475,18846,20164,24133,30193,32989,29349,20962,(D),(D),15694,(D),(D),18106,19524,19967,20722
21," ""37041""","Chowan, NC",5.0,CAINC6N,400.0,23,   Construction,Thousands of dollars,6202,6387,7315,8559,9276,9477,11252,9958,8365,7072,7142,7864,7979,8986,8085,9208,9889,9440
22," ""37043""","Clay, NC",5.0,CAINC6N,400.0,23,   Construction,Thousands of dollars,7918,7045,7181,8622,10171,12593,12868,11191,8415,7998,7551,6770,6656,(D),7999,8702,8895,9609
23," ""37045""","Cleveland, NC",5.0,CAINC6N,400.0,23,   Construction,Thousands of dollars,55171,50215,48645,53077,59787,61239,64800,61404,53649,54377,60179,69268,75221,77877,81763,85289,108700,111099
