,Series ID	Region Name	Region Code	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
NCALAM1URN	Alamance County, NC	37001															3.9833333333333334	5.825	5.3	4.441666666666666	3.4916666666666667	3.658333333333333	3.533333333333333	3.375	2.85	2.425	3.091666666666667	5.525	7.191666666666666	7.133333333333333	6.191666666666666	5.991666666666667	5.458333333333333	5.058333333333334	6.358333333333333	11.675	10.866666666666667	9.658333333333333	8.533333333333333	7.25	5.683333333333334	5.341666666666667	4.75	4.225	3.658333333333333	0.0
NCALEX3URN	Alexander County, NC	37003															3.658333333333333	6.541666666666667	4.258333333333333	3.158333333333333	2.9916666666666667	3.4833333333333334	3.45	3.033333333333333	2.225	2.158333333333333	2.7083333333333335	5.808333333333334	7.033333333333333	7.058333333333334	5.95	5.416666666666667	4.808333333333334	5.225	6.95	13.866666666666667	13.041666666666666	11.275	9.575	7.766666666666667	5.633333333333333	4.925	4.241666666666667	3.625	3.15	0.0
NCALLE5URN	Alleghany County, NC	37005															3.2583333333333333	4.991666666666667	6.683333333333334	5.125	4.541666666666667	5.991666666666667	8.108333333333333	5.341666666666667	3.841666666666667	3.2083333333333335	5.891666666666667	8.516666666666667	9.075	9.233333333333333	6.266666666666667	5.575	4.983333333333333	5.183333333333334	7.441666666666666	11.891666666666667	12.016666666666667	12.258333333333333	10.45	8.783333333333333	6.866666666666667	6.141666666666667	5.491666666666667	5.033333333333333	4.508333333333333	0.0
NCANSO7URN	Anson County, NC	37007															4.266666666666667	8.533333333333333	13.866666666666667	9.016666666666667	10.358333333333333	9.216666666666667	7.108333333333333	6.058333333333334	7.941666666666666	7.008333333333333	5.175	8.391666666666667	9.175	9.466666666666667	8.541666666666666	7.425	7.516666666666667	7.325	8.791666666666666	14.791666666666666	14.125	12.283333333333333	10.908333333333333	9.466666666666667	7.083333333333333	6.508333333333333	5.8	5.116666666666667	4.475	0.0
NCASHE9URN	Ashe County, NC	37009															5.625	7.916666666666667	9.125	7.216666666666667	5.916666666666667	7.816666666666666	10.633333333333333	9.891666666666667	7.275	6.525	5.025	7.9	8.391666666666667	6.683333333333334	5.366666666666667	5.733333333333333	5.616666666666667	5.016666666666667	6.708333333333333	12.0	11.833333333333334	10.958333333333334	10.441666666666666	9.191666666666666	6.875	6.025	4.808333333333334	4.066666666666666	3.6	0.0
NCAVER1URN	Avery County, NC	37011															6.058333333333334	8.666666666666666	9.716666666666667	8.308333333333334	6.783333333333333	6.1	5.025	4.241666666666667	3.55	3.3583333333333334	3.966666666666667	5.408333333333333	6.566666666666666	5.783333333333333	5.041666666666667	5.358333333333333	4.866666666666667	4.683333333333334	5.7	9.266666666666667	10.775	11.116666666666667	10.666666666666666	8.925	6.558333333333334	5.941666666666666	5.041666666666667	4.266666666666667	3.6416666666666666	0.0
NCBEAU3URN	Beaufort County, NC	37013															4.833333333333333	7.208333333333333	8.733333333333333	6.866666666666667	6.591666666666667	8.208333333333334	7.966666666666667	7.25	7.891666666666667	7.55	5.966666666666667	8.516666666666667	9.05	8.516666666666667	6.858333333333333	6.408333333333333	5.7	5.591666666666667	7.091666666666667	11.358333333333333	11.708333333333334	11.133333333333333	10.566666666666666	9.491666666666667	7.358333333333333	6.591666666666667	5.683333333333334	5.0	4.55	0.0
NCBERT5URN	Bertie County, NC	37015															5.175	5.791666666666667	6.991666666666667	6.466666666666667	6.533333333333333	6.791666666666667	6.65	5.625	5.85	5.633333333333333	6.95	7.85	8.075	7.275	7.675	7.133333333333333	6.5	5.575	7.55	10.941666666666666	11.766666666666667	12.058333333333334	11.408333333333333	10.066666666666666	7.908333333333333	7.233333333333333	6.625	5.875	4.925	0.0
NCBLAD7URN	Bladen County, NC	37017															6.741666666666667	10.941666666666666	11.675	8.75	7.733333333333333	6.716666666666667	6.066666666666666	5.191666666666666	5.9	5.033333333333333	6.016666666666667	8.591666666666667	9.658333333333333	8.35	7.05	7.358333333333333	6.375	6.158333333333333	7.675	12.175	13.333333333333334	13.4	12.7	11.541666666666666	9.408333333333333	7.941666666666666	6.916666666666667	5.783333333333333	5.258333333333333	0.0
NCBRUN9URN	Brunswick County, NC	37019															6.083333333333333	8.441666666666666	10.975	10.808333333333334	10.458333333333334	8.616666666666667	7.133333333333333	5.391666666666667	5.1	4.158333333333333	4.466666666666667	5.541666666666667	6.925	6.358333333333333	5.391666666666667	5.008333333333333	4.45	4.55	6.325	10.708333333333334	12.566666666666666	12.241666666666667	11.25	9.808333333333334	7.916666666666667	7.3	6.466666666666667	5.641666666666667	5.175	0.0
NCBUNC1URN	Buncombe County, NC	37021															3.0	4.758333333333333	5.383333333333333	4.2	3.816666666666667	3.6666666666666665	3.25	2.841666666666667	2.65	2.25	3.0833333333333335	4.241666666666667	5.066666666666666	4.716666666666667	4.275	4.358333333333333	3.7333333333333334	3.533333333333333	4.675	8.308333333333334	8.566666666666666	7.925	7.25	5.983333333333333	4.716666666666667	4.366666666666667	3.8583333333333334	3.425	2.966666666666667	0.0
NCBURK0URN	Burke County, NC	37023															3.9	6.0	5.666666666666667	4.55	3.575	4.583333333333333	4.375	3.808333333333333	3.3833333333333333	2.5083333333333333	3.4916666666666667	6.5	7.816666666666666	7.725	6.633333333333333	6.333333333333333	5.716666666666667	5.95	8.075	14.125	12.9	11.441666666666666	9.841666666666667	8.258333333333333	6.241666666666667	5.616666666666667	4.85	4.15	3.566666666666667	0.0
NCCABA5URN	Cabarrus County, NC	37025															3.6	4.95	5.883333333333333	4.341666666666667	3.2916666666666665	3.45	3.283333333333333	2.933333333333333	2.3583333333333334	1.975	2.966666666666667	4.8	5.533333333333333	7.233333333333333	6.133333333333333	4.625	4.1	4.416666666666667	5.666666666666667	10.958333333333334	11.55	10.4	9.008333333333333	7.608333333333333	5.833333333333333	5.166666666666667	4.575	4.116666666666667	3.566666666666667	0.0
NCCALD0URN	Caldwell County, NC	37027															3.975	6.741666666666667	4.991666666666667	3.966666666666667	2.783333333333333	3.775	3.8833333333333333	4.716666666666667	2.433333333333333	1.8416666666666668	2.8666666666666667	6.466666666666667	7.958333333333333	8.425	7.391666666666667	8.116666666666667	7.466666666666667	7.05	7.7	15.033333333333333	14.816666666666666	13.25	11.608333333333333	9.558333333333334	7.258333333333333	6.241666666666667	5.183333333333334	4.416666666666667	3.8333333333333335	0.0
NCCAMD9URN	Camden County, NC	37029															3.225	4.325	5.2	4.458333333333333	3.9833333333333334	4.4	3.8	3.2083333333333335	3.066666666666667	2.566666666666667	2.9166666666666665	3.8833333333333333	4.483333333333333	4.066666666666666	3.841666666666667	4.05	4.241666666666667	3.966666666666667	5.358333333333333	8.366666666666667	8.375	8.541666666666666	7.841666666666667	7.125	6.1	5.741666666666667	5.15	4.325	3.716666666666667	0.0
NCCART1URN	Carteret County, NC	37031															4.191666666666666	5.65	6.183333333333334	6.558333333333334	5.8	5.683333333333334	4.858333333333333	4.616666666666667	4.516666666666667	3.966666666666667	4.1	5.333333333333333	5.925	5.283333333333333	4.658333333333333	4.658333333333333	4.125	4.025	5.341666666666667	8.675	9.6	9.716666666666667	8.95	7.816666666666666	6.241666666666667	5.925	5.175	4.4	4.333333333333333	0.0
NCCASW3URN	Caswell County, NC	37033															3.8916666666666666	5.733333333333333	5.458333333333333	4.65	3.7	3.6083333333333334	3.466666666666667	3.6083333333333334	2.683333333333333	2.158333333333333	3.7	6.625	8.058333333333334	8.683333333333334	7.858333333333333	7.766666666666667	7.116666666666667	6.65	7.975	12.5	13.216666666666667	11.775	10.658333333333333	8.983333333333333	7.225	6.291666666666667	5.441666666666666	4.691666666666666	4.366666666666667	0.0
NCCATA5URN	Catawba County, NC	37035															4.175	6.725	6.033333333333333	4.15	3.558333333333333	4.216666666666667	3.9583333333333335	3.2583333333333333	2.6416666666666666	1.9583333333333333	2.7083333333333335	6.258333333333333	8.35	7.866666666666667	6.483333333333333	6.183333333333334	5.341666666666667	5.5	7.041666666666667	13.941666666666666	13.05	11.666666666666666	10.141666666666667	8.483333333333333	6.35	5.516666666666667	4.733333333333333	4.125	3.4916666666666667	0.0
NCCHAT7URN	Chatham County, NC	37037															2.816666666666667	5.208333333333333	3.841666666666667	2.5833333333333335	2.5166666666666666	2.691666666666667	2.6083333333333334	2.5083333333333333	2.0	1.7416666666666667	2.725	4.0	5.333333333333333	5.091666666666667	3.95	4.016666666666667	3.841666666666667	3.8	4.883333333333333	7.9	8.558333333333334	8.1	7.85	6.291666666666667	4.9	4.741666666666667	4.241666666666667	3.8583333333333334	3.3583333333333334	0.0
NCCHER9URN	Cherokee County, NC	37039															9.041666666666666	10.483333333333333	11.325	10.116666666666667	8.175	6.258333333333333	6.725	6.441666666666666	5.908333333333333	6.908333333333333	6.35	8.641666666666667	10.266666666666667	8.141666666666667	5.958333333333333	5.991666666666667	5.358333333333333	6.2	9.108333333333333	15.308333333333334	12.908333333333333	11.85	10.95	9.2	7.1	6.441666666666666	5.675	4.925	4.4	0.0
NCCHOW1URN	Chowan County, NC	37041															5.216666666666667	5.575	6.366666666666667	5.175	5.083333333333333	6.241666666666667	5.583333333333333	3.6	2.95	3.05	3.8916666666666666	5.425	6.025	5.191666666666666	4.616666666666667	4.908333333333333	4.958333333333333	6.133333333333333	8.616666666666667	11.783333333333333	11.991666666666667	12.15	10.891666666666667	9.825	7.908333333333333	7.133333333333333	6.4	5.241666666666667	4.425	0.0
