,GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0," ""37000""",North Carolina,5.0,CAINC6N,200.0,21,"   Mining, quarrying, and oil and gas extraction",Thousands of dollars,238281,192076,197715,217919,248077,282044,304743,250216,214984,165555,173712,177855,176269,177385,194767,207031,236385,246942,262621
1," ""37001""","Alamance, NC",5.0,CAINC6N,200.0,21,"   Mining, quarrying, and oil and gas extraction",Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),(D),2129,2602,2491,2326,2441,2721,3199,4318,3817,(D)
2," ""37003""","Alexander, NC",5.0,CAINC6N,200.0,21,"   Mining, quarrying, and oil and gas extraction",Thousands of dollars,(D),(D),(D),327,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
3," ""37005""","Alleghany, NC",5.0,CAINC6N,200.0,21,"   Mining, quarrying, and oil and gas extraction",Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
4," ""37007""","Anson, NC",5.0,CAINC6N,200.0,21,"   Mining, quarrying, and oil and gas extraction",Thousands of dollars,6908,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
5," ""37009""","Ashe, NC",5.0,CAINC6N,200.0,21,"   Mining, quarrying, and oil and gas extraction",Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
6," ""37011""","Avery, NC",5.0,CAINC6N,200.0,21,"   Mining, quarrying, and oil and gas extraction",Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
7," ""37013""","Beaufort, NC",5.0,CAINC6N,200.0,21,"   Mining, quarrying, and oil and gas extraction",Thousands of dollars,(D),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(D),(D),(D)
8," ""37015""","Bertie, NC",5.0,CAINC6N,200.0,21,"   Mining, quarrying, and oil and gas extraction",Thousands of dollars,0,0,0,0,0,0,0,0,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
9," ""37017""","Bladen, NC",5.0,CAINC6N,200.0,21,"   Mining, quarrying, and oil and gas extraction",Thousands of dollars,0,0,0,(D),(D),(D),(D),0,0,0,0,0,0,0,0,0,0,0,0
10," ""37019""","Brunswick, NC",5.0,CAINC6N,200.0,21,"   Mining, quarrying, and oil and gas extraction",Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),1012,(D),(D)
11," ""37021""","Buncombe, NC",5.0,CAINC6N,200.0,21,"   Mining, quarrying, and oil and gas extraction",Thousands of dollars,5400,4767,4247,5154,5484,(D),5617,4910,5343,7005,6516,6700,5836,6283,6612,5796,5925,6564,(D)
12," ""37023""","Burke, NC",5.0,CAINC6N,200.0,21,"   Mining, quarrying, and oil and gas extraction",Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),1413,(D),(D),(D),(D),(D),(D)
13," ""37025""","Cabarrus, NC",5.0,CAINC6N,200.0,21,"   Mining, quarrying, and oil and gas extraction",Thousands of dollars,4610,4457,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
14," ""37027""","Caldwell, NC",5.0,CAINC6N,200.0,21,"   Mining, quarrying, and oil and gas extraction",Thousands of dollars,1016,725,778,799,1052,1136,1287,1015,427,323,409,452,(D),(D),(D),(D),(D),(D),(D)
15," ""37029""","Camden, NC",5.0,CAINC6N,200.0,21,"   Mining, quarrying, and oil and gas extraction",Thousands of dollars,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16," ""37031""","Carteret, NC",5.0,CAINC6N,200.0,21,"   Mining, quarrying, and oil and gas extraction",Thousands of dollars,0,0,0,0,0,(D),(D),(D),(D),(D),(D),(D),(D),0,0,(D),(D),(D),(D)
17," ""37033""","Caswell, NC",5.0,CAINC6N,200.0,21,"   Mining, quarrying, and oil and gas extraction",Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
