,GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,37000,North Carolina,5.0,CAINC5N,1500.0,61,   Educational services,Thousands of dollars,1849579,2080703,2229197,2614701,2791357,3153709,3520044,3779306,4194360,4385809,4617000,4875466,4447883,5545765,5657787,5900419,5726723,6047269,6390267
1,37001,"Alamance, NC",5.0,CAINC5N,1500.0,61,   Educational services,Thousands of dollars,42078,50386,55900,62952,67966,76454,87633,96223,105267,110427,113289,122142,111199,133357,139423,149688,153286,158846,169166
2,37003,"Alexander, NC",5.0,CAINC5N,1500.0,61,   Educational services,Thousands of dollars,(D),(D),96,(D),(D),(D),474,(D),1001,(D),(D),138,(D),271,(D),(D),2006,(D),(D)
3,37005,"Alleghany, NC",5.0,CAINC5N,1500.0,61,   Educational services,Thousands of dollars,(D),(D),(D),(D),(D),(D),281,288,227,(D),(D),(D),447,523,594,(D),(D),(D),677
4,37007,"Anson, NC",5.0,CAINC5N,1500.0,61,   Educational services,Thousands of dollars,54,56,27,17,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),370,218,225
5,37009,"Ashe, NC",5.0,CAINC5N,1500.0,61,   Educational services,Thousands of dollars,(D),(D),(D),(D),(D),357,559,652,1032,1513,1397,858,738,908,1039,1052,948,1553,1738
6,37011,"Avery, NC",5.0,CAINC5N,1500.0,61,   Educational services,Thousands of dollars,(D),(D),(D),9419,8560,(D),(D),(D),9844,9657,9116,8991,(D),(D),(D),(D),(D),(D),(D)
7,37013,"Beaufort, NC",5.0,CAINC5N,1500.0,61,   Educational services,Thousands of dollars,2028,2329,2566,2943,3294,4176,5397,5055,4847,5306,5441,5578,5444,5912,5639,5791,5844,5716,5553
8,37015,"Bertie, NC",5.0,CAINC5N,1500.0,61,   Educational services,Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),5113,(D),(D),(D),(D)
9,37017,"Bladen, NC",5.0,CAINC5N,1500.0,61,   Educational services,Thousands of dollars,327,291,260,331,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),1987,2038
10,37019,"Brunswick, NC",5.0,CAINC5N,1500.0,61,   Educational services,Thousands of dollars,3869,4075,5627,4423,3955,5221,8544,9333,9865,9564,9018,8872,8233,9063,11144,13226,13609,17283,17385
11,37021,"Buncombe, NC",5.0,CAINC5N,1500.0,61,   Educational services,Thousands of dollars,46061,57529,47221,51637,53261,57232,66895,72699,75126,79471,79589,83902,82398,99060,107788,120368,130436,135896,143735
12,37023,"Burke, NC",5.0,CAINC5N,1500.0,61,   Educational services,Thousands of dollars,3741,4316,5256,3854,3831,4286,5177,4881,4680,4871,4876,5179,4442,4679,4527,4601,5203,5192,6350
13,37025,"Cabarrus, NC",5.0,CAINC5N,1500.0,61,   Educational services,Thousands of dollars,11360,13493,16371,20766,13987,26077,31218,31187,28286,25561,26464,30236,22934,25991,27258,33367,39446,37133,42422
14,37027,"Caldwell, NC",5.0,CAINC5N,1500.0,61,   Educational services,Thousands of dollars,1778,2449,2455,4335,4128,4626,3375,3633,3729,5687,4144,4311,3938,4260,4517,4528,3207,2713,2882
15,37029,"Camden, NC",5.0,CAINC5N,1500.0,61,   Educational services,Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
16,37031,"Carteret, NC",5.0,CAINC5N,1500.0,61,   Educational services,Thousands of dollars,2878,3072,3190,2830,3519,3936,4183,4492,5128,4948,4711,7058,6712,7756,7005,6497,14154,14558,15348
17,37033,"Caswell, NC",5.0,CAINC5N,1500.0,61,   Educational services,Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),193,75,95,153,(D),(D),210,486,(D),(D),(D),(D)
18,37035,"Catawba, NC",5.0,CAINC5N,1500.0,61,   Educational services,Thousands of dollars,19844,21438,21204,22612,23726,25628,31931,34336,36164,37061,38916,41337,34841,41152,39370,43715,43371,49509,52727
19,37037,"Chatham, NC",5.0,CAINC5N,1500.0,61,   Educational services,Thousands of dollars,1647,2031,2747,3230,3439,3922,5571,6115,6962,7873,7952,9878,9912,10896,11186,11934,12070,12361,14199
20,37039,"Cherokee, NC",5.0,CAINC5N,1500.0,61,   Educational services,Thousands of dollars,1317,(D),(D),1719,(D),2176,2837,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
21,37041,"Chowan, NC",5.0,CAINC5N,1500.0,61,   Educational services,Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
22,37043,"Clay, NC",5.0,CAINC5N,1500.0,61,   Educational services,Thousands of dollars,193,199,204,204,197,234,331,136,(D),(D),(D),(D),(D),(D),(D),879,853,713,735
23,37045,"Cleveland, NC",5.0,CAINC5N,1500.0,61,   Educational services,Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),46935,47896,46445,45310,46248
24,37047,"Columbus, NC",5.0,CAINC5N,1500.0,61,   Educational services,Thousands of dollars,(D),(D),2560,2777,3235,3385,4034,4306,4363,4668,4295,4510,3865,3985,3897,3702,2609,2219,2404
25,37049,"Craven, NC",5.0,CAINC5N,1500.0,61,   Educational services,Thousands of dollars,6515,6160,6369,6760,9075,10488,12317,12423,14536,15846,13554,14003,14237,16141,16886,21460,24588,25358,24145
26,37051,"Cumberland, NC",5.0,CAINC5N,1500.0,61,   Educational services,Thousands of dollars,33583,39960,43292,49505,53909,56881,77578,98872,137743,175682,203156,111313,90604,105164,104782,119681,116147,115506,114349
27,37053,"Currituck, NC",5.0,CAINC5N,1500.0,61,   Educational services,Thousands of dollars,4,(D),(D),(D),(D),(D),(D),988,1050,707,(D),(D),(D),(D),(D),(D),(D),(D),(D)
28,37055,"Dare, NC",5.0,CAINC5N,1500.0,61,   Educational services,Thousands of dollars,1091,1059,1372,1519,2091,2398,2185,2038,2082,2195,2336,2525,2796,3463,3409,3331,3169,2977,2849
29,37057,"Davidson, NC",5.0,CAINC5N,1500.0,61,   Educational services,Thousands of dollars,6861,8803,9395,10486,10317,10642,12194,12099,13826,14476,13980,14698,14633,15563,15019,18092,18863,21127,22209
30,37059,"Davie, NC",5.0,CAINC5N,1500.0,61,   Educational services,Thousands of dollars,(D),1014,1179,1370,1261,1274,1675,1698,1785,1979,1695,1734,1602,(D),(D),3248,3248,3347,3208
31,37061,"Duplin, NC",5.0,CAINC5N,1500.0,61,   Educational services,Thousands of dollars,691,787,723,810,727,1002,1472,1240,1698,1746,(D),3370,2031,1698,1661,1839,2607,2402,2024
32,37063,"Durham, NC",5.0,CAINC5N,1500.0,61,   Educational services,Thousands of dollars,384779,421888,461239,670242,739595,877632,963401,1048561,1230248,1254820,1352095,1443581,1299184,1814171,1834026,1912093,1928244,2026104,2138628
