,GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,37000,North Carolina,5.0,CAINC5N,1300.0,55,   Management of companies and enterprises,Thousands of dollars,4915756,5339444,5527039,6079525,6480776,7007727,7363642,7854929,7177278,7514537,8226377,9107785,8973244,9754586,10308976,10450342,10706968,11057935,11638240
1,37001,"Alamance, NC",5.0,CAINC5N,1300.0,55,   Management of companies and enterprises,Thousands of dollars,178175,183248,172080,203739,203166,210110,223993,261190,171718,178700,187604,184746,42069,38530,28833,36963,56077,54012,44297
2,37003,"Alexander, NC",5.0,CAINC5N,1300.0,55,   Management of companies and enterprises,Thousands of dollars,(D),(D),(D),5273,3582,2677,2331,2516,2128,1974,(D),(D),(D),(D),(D),(D),(D),(D),588
3,37005,"Alleghany, NC",5.0,CAINC5N,1300.0,55,   Management of companies and enterprises,Thousands of dollars,0,0,0,3,0,2,0,0,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
4,37007,"Anson, NC",5.0,CAINC5N,1300.0,55,   Management of companies and enterprises,Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
5,37009,"Ashe, NC",5.0,CAINC5N,1300.0,55,   Management of companies and enterprises,Thousands of dollars,(D),(D),(D),(D),(D),8661,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),11207,(D)
6,37011,"Avery, NC",5.0,CAINC5N,1300.0,55,   Management of companies and enterprises,Thousands of dollars,(D),(D),0,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
7,37013,"Beaufort, NC",5.0,CAINC5N,1300.0,55,   Management of companies and enterprises,Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),4552,4550,4836,5000,5252,10870,13166,11831,11360
8,37015,"Bertie, NC",5.0,CAINC5N,1300.0,55,   Management of companies and enterprises,Thousands of dollars,0,(D),0,0,0,0,0,0,0,0,0,0,0,0,(D),(D),(D),(D),(D)
9,37017,"Bladen, NC",5.0,CAINC5N,1300.0,55,   Management of companies and enterprises,Thousands of dollars,1708,(D),(D),0,0,9,-28,-25,-50,2,3,3,0,-72,-91,-80,0,(D),(D)
