,County	Collections
250,Caswell	307180.0
251,Caswell	309641.0
252,Caswell	287392.0
253,Caswell	271717.0
254,Caswell	290109.0
255,Catawba	10194151.0
256,Catawba	11067427.0
257,Catawba	10390410.0
258,Catawba	11179901.0
259,Catawba	10063782.0
260,Catawba	10011995.0
261,Catawba	10506453.0
262,Catawba	8850256.0
263,Catawba	9384444.0
264,Catawba	9935575.0
265,Catawba	8543438.0
266,Catawba	9370311.0
267,Catawba	9967857.0
268,Catawba	10220766.0
269,Catawba	9745492.0
270,Chatham	2748881.0
271,Chatham	2217311.0
272,Chatham	2788330.0
273,Chatham	2911491.0
274,Chatham	2519211.0
275,Chatham	3025981.0
276,Chatham	2869667.0
277,Chatham	2790236.0
278,Chatham	2900375.0
279,Chatham	2843116.0
280,Chatham	2303396.0
281,Chatham	2738509.0
282,Chatham	2664493.0
283,Chatham	2800201.0
284,Chatham	2632410.0
285,Cherokee	1343252.0
286,Cherokee	1406620.0
287,Cherokee	1400104.0
288,Cherokee	1290841.0
289,Cherokee	1400763.0
290,Cherokee	1422104.0
291,Cherokee	1086538.0
292,Cherokee	1360771.0
293,Cherokee	1417193.0
294,Cherokee	1372364.0
295,Cherokee	1483443.0
296,Cherokee	1095827.0
297,Cherokee	1508518.0
298,Cherokee	1456267.0
299,Cherokee	1421812.0
300,Chowan	573234.0
301,Chowan	493146.0
302,Chowan	529455.0
303,Chowan	570898.0
304,Chowan	555485.0
305,Chowan	494546.0
306,Chowan	536832.0
307,Chowan	497192.0
308,Chowan	548635.0
309,Chowan	549045.0
310,Chowan	587221.0
311,Chowan	537985.0
312,Chowan	585076.0
313,Chowan	525551.0
314,Chowan	548372.0
315,Clay	347546.0
316,Clay	400466.0
317,Clay	291686.0
318,Clay	392122.0
319,Clay	296725.0
320,Clay	360078.0
321,Clay	374806.0
322,Clay	399405.0
323,Clay	330208.0
324,Clay	321926.0
325,Clay	407827.0
326,Clay	372654.0
327,Clay	336773.0
328,Clay	381484.0
329,Clay	360749.0
330,Cleveland	4108404.0
331,Cleveland	4409726.0
332,Cleveland	3992401.0
333,Cleveland	3689696.0
334,Cleveland	4026832.0
335,Cleveland	3973638.0
336,Cleveland	4046429.0
337,Cleveland	3712024.0
338,Cleveland	3924955.0
339,Cleveland	3905321.0
340,Cleveland	3978877.0
341,Cleveland	4347424.0
342,Cleveland	4156086.0
343,Cleveland	3830056.0
344,Cleveland	4078110.0
345,Columbus	1670932.0
346,Columbus	1618462.0
347,Columbus	1637972.0
348,Columbus	1622159.0
349,Columbus	1884550.0
350,Columbus	1688498.0
351,Columbus	1760856.0
352,Columbus	1504607.0
353,Columbus	1920909.0
354,Columbus	1361913.0
355,Columbus	1702014.0
356,Columbus	1560925.0
357,Columbus	1800101.0
358,Columbus	1932096.0
359,Columbus	1881876.0
360,Craven	5305471.0
361,Craven	4614732.0
362,Craven	4983579.0
363,Craven	5393555.0
364,Craven	5016481.0
365,Craven	5481628.0
366,Craven	5289448.0
367,Craven	5003205.0
368,Craven	4538127.0
369,Craven	4314586.0
370,Craven	5536129.0
371,Craven	5044208.0
372,Craven	5625888.0
373,Craven	4920166.0
374,Craven	5785590.0
375,Cumberland	16239375.0
376,Cumberland	17558596.0
377,Cumberland	19807269.0
378,Cumberland	17024638.0
379,Cumberland	18991088.0
380,Cumberland	18299729.0
381,Cumberland	17978381.0
382,Cumberland	17140511.0
383,Cumberland	17710266.0
384,Cumberland	15512335.0
385,Cumberland	17232914.0
386,Cumberland	17068124.0
387,Cumberland	17163767.0
388,Cumberland	17327520.0
389,Cumberland	14929999.0
390,Currituck	2345950.0
391,Currituck	2040076.0
392,Currituck	1209964.0
393,Currituck	1025980.0
394,Currituck	1503910.0
395,Currituck	1375916.0
396,Currituck	4205357.0
397,Currituck	923985.0
398,Currituck	2263068.0
399,Currituck	4813200.0
400,Currituck	1087210.0
401,Currituck	1162204.0
402,Currituck	4864742.0
403,Currituck	1490774.0
404,Currituck	954419.0
405,Dare	3026989.0
406,Dare	11321288.0
407,Dare	6542087.0
408,Dare	3518081.0
409,Dare	2831112.0
410,Dare	5501100.0
411,Dare	6834818.0
412,Dare	7096777.0
413,Dare	5191614.0
414,Dare	13178541.0
415,Dare	11799596.0
416,Dare	3874539.0
417,Dare	3719123.0
418,Dare	4932146.0
419,Dare	4266897.0
420,Davidson	5834532.0
421,Davidson	6019738.0
422,Davidson	6152100.0
423,Davidson	5988996.0
424,Davidson	6149346.0
425,Davidson	6218852.0
426,Davidson	5701357.0
427,Davidson	5318227.0
428,Davidson	5488635.0
429,Davidson	6386164.0
430,Davidson	5873484.0
431,Davidson	6104563.0
432,Davidson	5284465.0
433,Davidson	5072431.0
434,Davidson	6625264.0
435,Davie	1615433.0
436,Davie	1609324.0
437,Davie	1278895.0
