Year.id,Id
Year.display-label,Year
Sex.id,Id
Sex.display-label,Sex
Hisp.id,Id
Hisp.display-label,Hispanic Origin
GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
totpop,Total
wa,Race Alone - White
ba,Race Alone - Black or African American
ia,Race Alone - American Indian and Alaska Native
aa,Race Alone - Asian
na,Race Alone - Native Hawaiian and Other Pacific Islander
tom,Two or More Races
