RegionName	State	Metro	StateCodeFIPS	MunicipalCodeFIPS	SizeRank	2010-01	2010-02	2010-03	2010-04	2010-05	2010-06	2010-07	2010-08	2010-09	2010-10	2010-11	2010-12	2011-01	2011-02	2011-03	2011-04	2011-05	2011-06	2011-07	2011-08	2011-09	2011-10	2011-11	2011-12	2012-01	2012-02	2012-03	2012-04	2012-05	2012-06	2012-07	2012-08	2012-09	2012-10	2012-11	2012-12	2013-01	2013-02	2013-03	2013-04	2013-05	2013-06	2013-07	2013-08	2013-09	2013-10	2013-11	2013-12	2014-01	2014-02	2014-03	2014-04	2014-05	2014-06	2014-07	2014-08	2014-09	2014-10	2014-11	2014-12	2015-01	2015-02	2015-03	2015-04	2015-05	2015-06	2015-07	2015-08	2015-09	2015-10	2015-11	2015-12	2016-01	2016-02	2016-03	2016-04	2016-05	2016-06	2016-07	2016-08	2016-09	2016-10	2016-11	2016-12	2017-01	2017-02	2017-03	2017-04	2017-05	2017-06	2017-07	2017-08	2017-09	2017-10	2017-11	2017-12	2018-01	2018-02	2018-03	2018-04	2018-05	2018-06	2018-07	2018-08	2018-09	2018-10	2018-11	2018-12	2019-01	2019-02	2019-03	2019-04	2019-05	2019-06	2019-07	2019-08	2019-09	2019-10	2019-11	2019-12
Rutherford County	NC	Forest City	37	161	776	199500.0	199000.0	194000.0	197500.0	189900.0	189900.0	189900.0	185000.0	190000.0	199000.0	199900.0	198900.0	195000.0	199000.0	197500.0	197200.0	199000.0	199500.0	189700.0	186450.0	180000.0	179900.0	179900.0	174900.0	170000.0	164900.0	164900.0	164900.0	162000.0	165000.0	169000.0	164900.0	169900.0	169000.0	169900.0	175000.0	175000.0	179000.0	185000.0	189000.0	189900.0	194700.0	189000.0	194900.0	194900.0	189900.0	188100.0	189000.0	183250.0	179900.0	182500.0	189000.0	189900.0	189900.0	189900.0	195000.0	195000.0	189900.0	194950.0	194900.0	182500.0	186450.0	189900.0	193000.0	189949.5	189900.0	189000.0	187500.0	189000.0	189900.0	189900.0	189900.0	189000.0	189000.0	189000.0	195000.0	199900.0	199950.0	200000.0	209000.0	202450.0	209700.0	199900.0	199900.0	199900.0	195000.0	195000.0	199000.0	219450.0	224900.0	229900.0	229900.0	238250.0	229000.0	229000.0	234900.0	229450.0	229900.0	236800.0	228975.0	227000.0	229000.0	237750.0	239000.0	239500.0	239000.0	244500.0	240000.0	239000.0	229900.0	229000.0	239900.0	250000.0	249500.0	257500.0	257000.0	256600.0	249900.0	249900.0	249900.0
Carteret County	NC	Morehead City	37	031	789	329000.0	330000.0	329000.0	325000.0	329000.0	329000.0	325000.0	324900.0	324900.0	324900.0	320000.0	315000.0	299900.0	299900.0	300000.0	311000.0	311000.0	300000.0	299900.0	303950.0	310000.0	299999.0	299900.0	299000.0	298500.0	279900.0	285500.0	285000.0	279900.0	280000.0	276000.0	274950.0	275000.0	274900.0	270000.0	269000.0	270499.5	269850.0	269000.0	269900.0	269900.0	274900.0	271500.0	274900.0	275000.0	275000.0	269000.0	265000.0	265000.0	269900.0	272999.0	277500.0	278252.0	275000.0	275000.0	279000.0	279500.0	279000.0	279900.0	280000.0	285000.0	290000.0	285900.0	291484.0	288900.0	284900.0	279900.0	284900.0	284000.0	280000.0	277000.0	275000.0	274900.0	279900.0	285000.0	279900.0	278900.0	275000.0	275000.0	284900.0	285000.0	289000.0	284800.0	280000.0	284500.0	285000.0	287500.0	289250.0	289000.0	293312.0	299000.0	299000.0	299000.0	299000.0	299000.0	295000.0	295000.0	299900.0	299900.0	299900.0	300000.0	309000.0	305000.0	304000.0	309000.0	308995.0	299999.0	299900.0	299900.0	304500.0	299500.0	305000.0	304700.0	309000.0	315000.0	314450.0	319850.0	324900.0	324250.0	324000.0
Chatham County	NC	Durham-Chapel Hill	37	037	820	329375.0	337000.0	319000.0	314900.0	314000.0	300000.0	311024.0	311024.0	319900.0	319000.0	312265.0	307900.0	299990.0	299900.0	299900.0	299900.0	302700.0	300990.0	299990.0	298950.0	299990.0	305490.0	299970.0	290500.0	312900.0	314000.0	309999.0	300000.0	300000.0	299900.0	309613.0	299900.0	299900.0	307450.0	299900.0	290950.0	295945.0	311000.0	324900.0	349900.0	329950.0	342900.0	340400.0	331990.0	339990.0	348796.0	349000.0	336900.0	337200.0	346990.0	356990.0	362695.0	369900.0	375000.0	375000.0	379850.0	374400.0	384850.0	367000.0	370900.0	363500.0	367450.0	374900.0	384995.0	399900.0	406950.0	399995.0	392650.0	399900.0	395000.0	397000.0	394900.0	399990.0	409900.0	429990.0	449000.0	449400.0	449995.0	435000.0	430000.0	429900.0	449900.0	449995.0	437714.5	429999.0	429999.0	450000.0	450000.0	450000.0	450000.0	450000.0	447890.0	450000.0	453245.0	449995.0	450000.0	450000.0	449990.0	449990.0	449450.0	449450.0	453010.0	448995.0	434995.0	450000.0	455760.0	465000.0	475000.0	468709.0	467086.0	475000.0	465000.0	475000.0	479317.0	459900.0	459945.0	460000.0	467995.0	479900.0	484037.5
Sampson County	NC		37	163	823	172900.0	192900.0	171400.0	189900.0	179750.0	159900.0	158950.0	154900.0	136450.0	149900.0	155000.0	141250.0	135950.0	134900.0	135900.0	147500.0	159900.0	168500.0	165900.0	165000.0	149900.0	158000.0	144500.0	137450.0	139900.0	139900.0	140000.0	135000.0	149450.0	152000.0	152000.0	159950.0	149900.0	148000.0	159900.0	150000.0	149900.0	148950.0	154600.0	157450.0	149950.0	149900.0	149900.0	165450.0	169900.0	166825.0	157250.0	162000.0	163250.0	169000.0	166625.0	157900.0	149900.0	163500.0	160450.0	144900.0	149700.0	146900.0	140000.0	144900.0	139000.0	139000.0	134900.0	135995.0	127900.0	129950.0	134900.0	139900.0	140900.0	139900.0	139900.0	139900.0	144950.0	137400.0	139900.0	158000.0	149900.0	139900.0	148200.0	143000.0	141000.0	145450.0	149900.0	143000.0	139900.0	135000.0	139900.0	149900.0	149900.0	149900.0	137500.0	147450.0	152900.0	149700.0	142500.0	142250.0	132400.0	142500.0	145250.0	149900.0	147400.0	151950.0	159000.0	158000.0	155000.0	155000.0	155000.0	154200.0	160950.0	166500.0	166500.0	175000.0	189900.0	185400.0	179900.0	175000.0	187450.0	179900.0	179900.0	178900.0
Franklin County	NC	Raleigh	37	069	851	184900.0	185000.0	183500.0	179950.0	180550.0	189000.0	185000.0	184900.0	188850.0	185000.0	185000.0	175000.0	180900.0	179900.0	174600.0	179000.0	177990.0	169900.0	169900.0	168400.0	169000.0	161250.0	162500.0	166945.0	159900.0	158000.0	159900.0	159900.0	154400.0	154000.0	152700.0	159900.0	162250.0	169900.0	169900.0	159900.0	180000.0	189900.0	184900.0	175000.0	179900.0	184950.0	188850.0	193250.0	186450.0	189900.0	185450.0	189900.0	189900.0	205000.0	206000.0	199900.0	199900.0	195000.0	199450.0	199845.0	199000.0	179990.0	179990.0	184900.0	180000.0	184900.0	180100.0	193995.0	209950.0	215000.0	224900.0	225000.0	219990.0	219990.0	218750.0	223547.5	220000.0	223657.0	215000.0	215000.0	220000.0	219900.0	224700.0	220000.0	229900.0	235000.0	239900.0	242200.0	246900.0	249900.0	247050.0	249900.0	250000.0	241490.0	241505.0	244900.0	247500.0	248400.0	249900.0	250000.0	258000.0	259195.0	250490.0	258490.0	250409.5	255000.0	255900.0	250744.5	255390.5	259900.0	259900.0	259990.0	264490.0	264900.0	262749.5	259900.0	259900.0	265000.0	260990.0	262999.0	261425.0	264945.0	260000.0	258000.0
Stanly County	NC	Albemarle	37	167	852	169700.0	168900.0	164900.0	168595.0	169500.0	165000.0	164900.0	164900.0	159900.0	159900.0	159950.0	159900.0	154950.0	150000.0	154900.0	159900.0	164900.0	164950.0	168000.0	166250.0	155900.0	149950.0	146500.0	145000.0	142500.0	139900.0	144500.0	139900.0	139900.0	139500.0	139250.0	139250.0	139250.0	139950.0	139900.0	139000.0	139900.0	145000.0	146000.0	149500.0	149950.0	155000.0	155000.0	149500.0	149900.0	149900.0	158650.0	159000.0	149000.0	149900.0	164900.0	164900.0	164900.0	164900.0	164900.0	164900.0	164150.0	153000.0	164900.0	169900.0	164900.0	162900.0	159000.0	159900.0	159900.0	159500.0	164900.0	164900.0	159200.0	164900.0	164900.0	164200.0	163900.0	159900.0	174500.0	179950.0	180000.0	180000.0	179900.0	179500.0	174950.0	171900.0	175400.0	168000.0	167000.0	169980.0	172900.0	181900.0	184900.0	189900.0	199500.0	199900.0	209400.0	215000.0	214700.0	205000.0	207802.5	199949.5	210900.0	199900.0	209500.0	214000.0	218250.0	218250.0	218900.0	211900.0	219250.0	219900.0	213000.0	223400.0	223150.0	233485.0	239000.0	235000.0	234900.0	235000.0	235900.0	220000.0	229000.0	222900.0
Granville County	NC	Oxford	37	077	860	175000.0	175000.0	184900.0	179900.0	179900.0	179900.0	176700.0	177495.0	179900.0	179700.0	174900.0	174500.0	177990.0	178500.0	176900.0	172500.0	176400.0	178499.5	176400.0	174900.0	175000.0	175000.0	174900.0	169950.0	169900.0	169900.0	173750.0	175000.0	174950.0	174500.0	174500.0	174500.0	168500.0	165000.0	165000.0	165000.0	165000.0	169900.0	169000.0	174500.0	175000.0	174900.0	169900.0	169900.0	169900.0	168987.0	169900.0	165000.0	162500.0	169900.0	167500.0	169900.0	174700.0	179500.0	182250.0	184450.0	178240.0	176885.0	186250.0	183000.0	179425.5	179000.0	180490.0	184900.0	189900.0	189900.0	189000.0	179900.0	176500.0	189450.0	189000.0	189900.0	190000.0	189950.0	189900.0	212000.0	196249.5	219000.0	209200.0	231000.0	231000.0	225000.0	231000.0	235000.0	229900.0	227900.0	224700.0	222000.0	224500.0	225000.0	229900.0	224950.0	229900.0	236500.0	239560.0	238950.0	239900.0	254950.0	247450.0	249400.0	229900.0	234899.0	234899.5	226500.0	238000.0	239950.0	244990.0	247995.0	256500.0	255000.0	259900.0	264900.0	265000.0	269460.0	274020.0	272490.0	277000.0	275000.0	273265.5	273631.0
Lenoir County	NC	Kinston	37	107	865	125333.0	124900.0	125616.5	119900.0	120000.0	124900.0	120000.0	119900.0	122900.0	119450.0	119900.0	118000.0	118900.0	114950.0	118900.0	114900.0	116450.0	119900.0	124900.0	118700.0	115450.0	114900.0	114900.0	113950.0	119900.0	119900.0	124900.0	119000.0	118250.0	119900.0	119900.0	124945.0	115450.0	114900.0	113000.0	110000.0	110000.0	114900.0	113000.0	113500.0	114900.0	115000.0	118900.0	118900.0	119450.0	119900.0	118900.0	114700.0	110000.0	99999.0	99000.0	99000.0	105000.0	104250.0	107950.0	109000.0	107400.0	119900.0	119900.0	119900.0	119900.0	112250.0	110000.0	110000.0	113900.0	119000.0	116900.0	114900.0	110900.0	115000.0	113000.0	114900.0	114000.0	114500.0	114500.0	119250.0	119900.0	119900.0	119000.0	115950.0	115000.0	115000.0	114900.0	114900.0	113500.0	114000.0	114900.0	124900.0	124900.0	116000.0	118900.0	118000.0	118000.0	114900.0	112000.0	114900.0	114900.0	114900.0	114950.0	113450.0	115000.0	113000.0	114000.0	115000.0	115000.0	115000.0	119000.0	115000.0	112900.0	109500.0	118950.0	116450.0	117500.0	114450.0	117500.0	112000.0	110000.0	109900.0	109900.0	109900.0
Haywood County	NC	Asheville	37	087	868	250000.0	250000.0	249900.0	245250.0	249000.0	248000.0	249000.0	249000.0	249900.0	244950.0	245000.0	239000.0	235000.0	234850.0	235000.0	231000.0	235000.0	229900.0	229500.0	229900.0	229000.0	225000.0	224900.0	220000.0	225000.0	220000.0	220000.0	215700.0	219000.0	219700.0	215000.0	215000.0	215000.0	200000.0	209000.0	209000.0	208500.0	215000.0	219950.0	224000.0	225000.0	229250.0	225000.0	224000.0	219000.0	220000.0	219900.0	219900.0	214700.0	219000.0	224500.0	221000.0	225000.0	222500.0	223750.0	224900.0	225000.0	220000.0	219900.0	218500.0	209450.0	208000.0	205000.0	219000.0	224000.0	225000.0	229900.0	229900.0	230000.0	234500.0	235000.0	235000.0	235000.0	234000.0	229000.0	238937.5	239000.0	244000.0	245000.0	249000.0	249000.0	249500.0	249500.0	249500.0	250000.0	250000.0	255000.0	265000.0	274000.0	269000.0	265800.0	269000.0	265000.0	264700.0	274000.0	269900.0	269500.0	269500.0	259900.0	259900.0	261000.0	259900.0	269900.0	279500.0	283750.0	287500.0	285000.0	289000.0	282500.0	278750.0	277000.0	279000.0	279900.0	289000.0	285000.0	284200.0	289900.0	289000.0	285000.0	285000.0
Duplin County	NC		37	061	873																																																																																																													127000.0	129000.0	129950.0	134950.0	157000.0	167900.0	175000.0	169900.0	175000.0	161450.0	165000.0	174900.0
