GeoFIPS	GeoName	Region	TableName	LineCode	IndustryClassification	Description	Unit	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
" ""37000"""	North Carolina	5.0	CAINC5N	900.0	51	   Information	Thousands of dollars	(D)	4998160	5108772	5712169	5679905	5805491	6244957	6150039	5793284	5632762	5768439	6105228	6389957	7302160	7795246	7994034	8111620	8611213
" ""37001"""	Alamance, NC	5.0	CAINC5N	900.0	51	   Information	Thousands of dollars	19114	20123	18814	19188	21411	20757	43975	31039	27053	23864	23769	26257	28772	27888	28671	30223	28369	27625
" ""37003"""	Alexander, NC	5.0	CAINC5N	900.0	51	   Information	Thousands of dollars	1001	1004	1062	1226	1233	1251	1489	1728	1654	2147	1971	1347	1329	1089	962	1112	1082	931
" ""37005"""	Alleghany, NC	5.0	CAINC5N	900.0	51	   Information	Thousands of dollars	967	1044	1144	1035	1123	1219	1347	1435	1124	1764	1796	1451	1506	1179	1240	1191	1280	1333
" ""37007"""	Anson, NC	5.0	CAINC5N	900.0	51	   Information	Thousands of dollars	2209	2562	2184	1623	1529	1619	1660	1922	2367	1807	1838	1852	1872	2119	1832	1699	1433	1548
" ""37009"""	Ashe, NC	5.0	CAINC5N	900.0	51	   Information	Thousands of dollars	3784	4420	4825	4708	4612	4991	5515	5338	4450	5007	5810	5231	5071	5254	4349	3777	3733	4036
" ""37011"""	Avery, NC	5.0	CAINC5N	900.0	51	   Information	Thousands of dollars	2606	2642	2102	2151	2041	1810	2101	(D)	1864	1700	1780	1558	1576	1603	1641	1565	1722	1412
" ""37013"""	Beaufort, NC	5.0	CAINC5N	900.0	51	   Information	Thousands of dollars	9305	9086	9501	9902	10279	9078	8818	8788	8282	9616	8799	8635	9616	9832	9837	9368	4825	5548
" ""37015"""	Bertie, NC	5.0	CAINC5N	900.0	51	   Information	Thousands of dollars	486	550	529	471	435	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
" ""37017"""	Bladen, NC	5.0	CAINC5N	900.0	51	   Information	Thousands of dollars	(D)	(D)	(D)	1309	1225	1080	991	820	953	560	537	514	439	(D)	(D)	(D)	239	(D)
" ""37019"""	Brunswick, NC	5.0	CAINC5N	900.0	51	   Information	Thousands of dollars	12792	14271	15499	17587	22213	20194	21179	23294	23898	26392	28263	26930	26179	25605	25420	23718	24398	24084
" ""37021"""	Buncombe, NC	5.0	CAINC5N	900.0	51	   Information	Thousands of dollars	80044	76490	75635	80468	82372	83938	95269	95150	96219	92064	101620	109577	110317	113629	108988	124023	125796	121521
" ""37023"""	Burke, NC	5.0	CAINC5N	900.0	51	   Information	Thousands of dollars	6359	6407	6024	6783	7531	7042	6198	6737	6163	6684	5934	6349	6763	7073	6507	7406	7727	7326
" ""37025"""	Cabarrus, NC	5.0	CAINC5N	900.0	51	   Information	Thousands of dollars	62060	42932	41309	42619	41044	48732	47732	37364	34653	31497	29497	30602	31020	34893	36135	83890	76995	71785
" ""37027"""	Caldwell, NC	5.0	CAINC5N	900.0	51	   Information	Thousands of dollars	8719	11659	11981	13133	12026	11223	11527	11304	10630	9584	9440	10519	10070	11408	10036	8631	8981	32083
" ""37029"""	Camden, NC	5.0	CAINC5N	900.0	51	   Information	Thousands of dollars	5076	4938	4875	3720	1586	1580	1825	1553	(D)	781	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
" ""37031"""	Carteret, NC	5.0	CAINC5N	900.0	51	   Information	Thousands of dollars	13643	14018	14765	15674	14318	17058	18027	16344	15507	16495	16756	15327	16224	15871	16248	16393	14076	13934
" ""37033"""	Caswell, NC	5.0	CAINC5N	900.0	51	   Information	Thousands of dollars	910	914	847	579	528	461	509	455	430	499	533	620	528	(D)	(D)	(D)	(D)	(D)
" ""37035"""	Catawba, NC	5.0	CAINC5N	900.0	51	   Information	Thousands of dollars	31468	27309	30178	33238	30792	29127	31897	32131	34309	34983	42943	40624	40476	41520	42144	41168	39951	46656
" ""37037"""	Chatham, NC	5.0	CAINC5N	900.0	51	   Information	Thousands of dollars	5424	4598	5247	6175	5599	4570	4770	4744	5350	5993	5374	5451	5126	4928	5539	5933	9050	9914
" ""37039"""	Cherokee, NC	5.0	CAINC5N	900.0	51	   Information	Thousands of dollars	3789	3997	4168	4765	4715	5110	5411	5214	4829	4622	4657	4638	4638	4698	4139	3871	3856	3720
" ""37041"""	Chowan, NC	5.0	CAINC5N	900.0	51	   Information	Thousands of dollars	2405	2294	2559	3009	3516	3473	2710	2801	2595	2426	2473	2641	2646	2574	2435	3057	3079	3632
" ""37043"""	Clay, NC	5.0	CAINC5N	900.0	51	   Information	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	638	673	563	591	(D)	(D)	(D)	(D)	(D)	(D)
" ""37045"""	Cleveland, NC	5.0	CAINC5N	900.0	51	   Information	Thousands of dollars	12073	11355	12128	13088	13800	14400	15375	13276	12649	12006	10402	10527	13611	13598	13758	48227	46544	46020
" ""37047"""	Columbus, NC	5.0	CAINC5N	900.0	51	   Information	Thousands of dollars	8198	8370	8749	9329	8626	8557	7524	7197	6796	6284	6262	6436	5580	5982	6052	5615	5394	5149
" ""37049"""	Craven, NC	5.0	CAINC5N	900.0	51	   Information	Thousands of dollars	26635	27438	28575	27360	27472	27324	30211	32705	28809	23698	24586	24879	22758	21857	19393	19107	17509	16530
" ""37051"""	Cumberland, NC	5.0	CAINC5N	900.0	51	   Information	Thousands of dollars	95547	96638	99570	103044	119932	122897	123282	122350	92079	85642	84030	87096	92988	88398	86352	79186	75887	73066
" ""37053"""	Currituck, NC	5.0	CAINC5N	900.0	51	   Information	Thousands of dollars	335	853	(D)	1223	1512	1230	1131	912	1040	681	(D)	(D)	909	1100	1363	1612	1781	1125
" ""37055"""	Dare, NC	5.0	CAINC5N	900.0	51	   Information	Thousands of dollars	10005	13018	13287	14150	11789	12093	12894	12427	11108	10354	10560	10500	11498	11589	12739	10677	10000	10966
" ""37057"""	Davidson, NC	5.0	CAINC5N	900.0	51	   Information	Thousands of dollars	19497	20066	19935	19281	18151	18271	19155	18599	18304	15298	13700	13795	13076	11561	11785	14018	10043	10048
" ""37059"""	Davie, NC	5.0	CAINC5N	900.0	51	   Information	Thousands of dollars	840	(D)	754	866	(D)	(D)	(D)	(D)	1030	2794	4123	4047	(D)	1217	1688	1843	2173	2331
" ""37061"""	Duplin, NC	5.0	CAINC5N	900.0	51	   Information	Thousands of dollars	2052	2208	2668	3038	3143	3112	3846	3508	3233	3504	3582	5128	5139	4463	3980	4013	3872	4607
" ""37063"""	Durham, NC	5.0	CAINC5N	900.0	51	   Information	Thousands of dollars	308165	267755	258352	215544	222251	237647	261924	269340	270790	272042	245743	279206	318378	410992	452063	447746	425201	440837
" ""37065"""	Edgecombe, NC	5.0	CAINC5N	900.0	51	   Information	Thousands of dollars	65491	70922	64512	57168	50788	49221	48217	41010	33940	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
" ""37067"""	Forsyth, NC	5.0	CAINC5N	900.0	51	   Information	Thousands of dollars	131544	113232	108681	105981	106849	106401	110911	113656	102880	114643	114402	107051	120051	138895	120248	112250	112035	122338
" ""37069"""	Franklin, NC	5.0	CAINC5N	900.0	51	   Information	Thousands of dollars	4857	4791	5138	4486	4014	4545	4171	4353	6580	4031	5306	5429	5589	4976	4467	4361	8353	13515
" ""37071"""	Gaston, NC	5.0	CAINC5N	900.0	51	   Information	Thousands of dollars	(D)	29434	33174	41435	41055	36330	37883	43882	37478	51008	48432	45909	47849	50026	50421	52914	52468	49207
" ""37073"""	Gates, NC	5.0	CAINC5N	900.0	51	   Information	Thousands of dollars	529	626	537	85	52	47	52	47	19	37	68	64	182	150	128	101	98	(D)
" ""37075"""	Graham, NC	5.0	CAINC5N	900.0	51	   Information	Thousands of dollars	1110	1277	1146	481	616	732	669	675	741	(D)	(D)	(D)	(D)	(D)	898	923	913	(D)
" ""37077"""	Granville, NC	5.0	CAINC5N	900.0	51	   Information	Thousands of dollars	2534	3536	3760	3776	3358	2870	3081	3013	2892	2673	2480	2601	2720	3051	2517	2908	3348	4348
