GeoFIPS	GeoName	Region	TableName	LineCode	IndustryClassification	Description	Unit	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
 37000	North Carolina	5.0	CAINC5N	50.0	...	 Wages and salaries	Thousands of dollars	132002644	133601815	136786159	144742427	152363869	163308232	173894615	177813382	169548458	173519379	179966208	187090787	192266678	201605023	212951920	221576433	232498809	245483267	257908640
 37001	Alamance, NC	5.0	CAINC5N	50.0	...	 Wages and salaries	Thousands of dollars	1900777	1899681	1877409	1968535	2006594	2117454	2194448	2239104	2027594	2062643	2165125	2252982	2289096	2326897	2398123	2563383	2687655	2802593	2964704
 37003	Alexander, NC	5.0	CAINC5N	50.0	...	 Wages and salaries	Thousands of dollars	268031	265807	272810	293845	294384	306238	315887	309739	274610	276805	280590	284941	291862	304329	309759	321698	341307	348402	362986
 37005	Alleghany, NC	5.0	CAINC5N	50.0	...	 Wages and salaries	Thousands of dollars	89847	88337	83887	90295	95699	99654	99417	97821	91742	91545	93648	91009	97035	100560	103228	105049	107413	110408	116294
 37007	Anson, NC	5.0	CAINC5N	50.0	...	 Wages and salaries	Thousands of dollars	225329	228138	227622	242151	248723	254134	264785	270798	245207	253252	258037	258502	254757	266171	267324	267121	266695	274534	288421
 37009	Ashe, NC	5.0	CAINC5N	50.0	...	 Wages and salaries	Thousands of dollars	202754	213579	213603	223392	230833	242808	257020	260879	242116	242125	238958	247277	248993	251615	252472	269664	286794	297634	311332
 37011	Avery, NC	5.0	CAINC5N	50.0	...	 Wages and salaries	Thousands of dollars	157197	161337	170078	178774	186654	198297	214904	213326	201970	196634	198670	202533	206544	216780	223924	234325	245087	254866	259079
 37013	Beaufort, NC	5.0	CAINC5N	50.0	...	 Wages and salaries	Thousands of dollars	465040	469614	477810	504098	520442	550432	577339	584437	569513	573056	602355	597608	589809	603988	623387	644769	652571	666679	665718
 37015	Bertie, NC	5.0	CAINC5N	50.0	...	 Wages and salaries	Thousands of dollars	159609	164792	161058	167599	176429	185014	195605	204800	207816	203105	199010	198463	197765	208501	215769	215061	215875	214281	221585
 37017	Bladen, NC	5.0	CAINC5N	50.0	...	 Wages and salaries	Thousands of dollars	336631	347671	358446	362920	371067	386685	408958	409006	413625	415409	417529	427588	430638	440530	478019	493776	508606	524131	539033
 37019	Brunswick, NC	5.0	CAINC5N	50.0	...	 Wages and salaries	Thousands of dollars	684192	646388	708504	793568	846145	923539	995739	1038150	1011992	1027199	1027342	1072883	1122701	1173997	1234652	1286090	1373185	1444185	1527150
 37021	Buncombe, NC	5.0	CAINC5N	50.0	...	 Wages and salaries	Thousands of dollars	3245004	3258771	3388661	3577543	3772620	4051075	4324465	4438317	4250551	4312748	4425821	4622758	4788506	5048809	5410187	5692954	5976236	6339809	6698911
 37023	Burke, NC	5.0	CAINC5N	50.0	...	 Wages and salaries	Thousands of dollars	1017969	1021587	1014857	1074802	1076002	1103229	1107189	1109377	980627	985286	1017025	1055820	1077554	1099580	1129601	1145172	1174162	1198805	1252804
 37025	Cabarrus, NC	5.0	CAINC5N	50.0	...	 Wages and salaries	Thousands of dollars	1925888	2025585	2012825	2117913	2284483	2452351	2618921	2629307	2427418	2355723	2343193	2473221	2613060	2731588	2947188	3262080	3528490	3496130	3673244
 37027	Caldwell, NC	5.0	CAINC5N	50.0	...	 Wages and salaries	Thousands of dollars	924068	921763	909685	932366	904196	904130	898977	888304	833016	827162	830980	818992	825669	837573	896563	958053	1046177	1117369	1146926
 37029	Camden, NC	5.0	CAINC5N	50.0	...	 Wages and salaries	Thousands of dollars	36239	39699	42205	49586	57996	77489	83333	84640	85248	90899	75381	66745	57791	54684	63022	58505	54266	52512	54408
