County	Sales
Cherokee	29510303.0
Cherokee	29352370.0
Cherokee	27055610.0
Cherokee	29406416.0
Cherokee	29755047.0
Cherokee	22814162.0
Cherokee	28560797.0
Cherokee	29691487.0
Cherokee	28743100.0
Cherokee	31133751.0
Cherokee	22948363.0
Cherokee	31463566.0
Cherokee	30575240.0
Cherokee	29877940.0
Chowan	11990384.0
Chowan	10295223.0
Chowan	11090910.0
Chowan	11964701.0
Chowan	11602472.0
Chowan	10329779.0
Chowan	11271590.0
Chowan	10439791.0
Chowan	11474492.0
Chowan	11492581.0
Chowan	12239552.0
Chowan	11253601.0
Chowan	12166260.0
Chowan	10995434.0
Chowan	11486031.0
Clay	7288092.0
Clay	8392249.0
Clay	6074336.0
Clay	8219614.0
Clay	6237908.0
Clay	7549994.0
Clay	7880980.0
Clay	8320750.0
Clay	6924872.0
Clay	6770400.0
Clay	8506412.0
Clay	7794281.0
Clay	7063356.0
Clay	7956483.0
Clay	7556339.0
Cleveland	86336157.0
Cleveland	92399177.0
Cleveland	83847317.0
Cleveland	77449802.0
Cleveland	84549533.0
Cleveland	83161047.0
Cleveland	84945090.0
Cleveland	77619841.0
Cleveland	82378864.0
Cleveland	81868909.0
Cleveland	83442152.0
Cleveland	91134524.0
Cleveland	87247960.0
Cleveland	80316868.0
Cleveland	85605005.0
Columbus	34990277.0
Columbus	33890636.0
Columbus	34072902.0
Columbus	33885122.0
Columbus	39259557.0
Columbus	35362062.0
Columbus	36775049.0
Columbus	31480185.0
Columbus	40116939.0
Columbus	28492608.0
Columbus	35535053.0
Columbus	32633808.0
Columbus	37626880.0
Columbus	40468487.0
Columbus	39265729.0
Craven	111433386.0
Craven	96818988.0
Craven	104712169.0
Craven	113282119.0
Craven	105410411.0
Craven	114932027.0
Craven	110748746.0
Craven	104847312.0
Craven	95234158.0
Craven	90693313.0
Craven	116143906.0
Craven	105741853.0
Craven	117968615.0
Craven	103297107.0
Craven	121628326.0
Cumberland	340286796.0
Cumberland	367879347.0
Cumberland	416265298.0
Cumberland	357231585.0
Cumberland	397776835.0
Cumberland	383701612.0
Cumberland	377065084.0
Cumberland	359760318.0
Cumberland	372146084.0
Cumberland	325700996.0
Cumberland	361604473.0
Cumberland	358770276.0
Cumberland	360309071.0
Cumberland	363956042.0
Cumberland	313206058.0
Currituck	49122814.0
Currituck	42905898.0
Currituck	25260796.0
Currituck	22216645.0
Currituck	31462092.0
Currituck	28753084.0
Currituck	88375386.0
Currituck	19351267.0
Currituck	47423833.0
Currituck	101151279.0
Currituck	22872258.0
Currituck	24337112.0
Currituck	102380468.0
Currituck	31184428.0
Currituck	19906746.0
Dare	63484819.0
Dare	238039315.0
Dare	137439273.0
Dare	73467311.0
Dare	59231867.0
Dare	115571997.0
Dare	143532383.0
Dare	149050605.0
Dare	109031889.0
Dare	277523622.0
Dare	248391967.0
Dare	81362618.0
Dare	78130224.0
Dare	103508140.0
Dare	89604730.0
Davidson	122555474.0
Davidson	126201817.0
Davidson	128714518.0
Davidson	125657628.0
Davidson	128376578.0
Davidson	130497347.0
Davidson	119593158.0
Davidson	111229984.0
Davidson	114936681.0
Davidson	134147078.0
Davidson	123328441.0
Davidson	128153401.0
Davidson	110672155.0
Davidson	106415629.0
Davidson	138709613.0
Davie	33862687.0
Davie	33746920.0
Davie	26831306.0
Davie	34508685.0
Davie	33185594.0
Davie	34052537.0
Davie	31769904.0
Davie	34402469.0
Davie	32205269.0
Davie	32038999.0
Davie	28293334.0
Davie	28919031.0
Davie	34302457.0
Davie	32225326.0
Davie	31013562.0
Duplin	37099871.0
Duplin	34227274.0
Duplin	40018390.0
Duplin	36504035.0
Duplin	38559849.0
Duplin	39833296.0
Duplin	40118784.0
Duplin	37092491.0
Duplin	32841913.0
Duplin	35699645.0
Duplin	36829702.0
Duplin	40876427.0
Duplin	39976920.0
Duplin	40245406.0
Duplin	38741816.0
Durham	658138870.0
Durham	593467910.0
Durham	680643384.0
Durham	605371096.0
Durham	709299612.0
Durham	697397763.0
Durham	682904500.0
Durham	627953068.0
Durham	695129568.0
Durham	662358552.0
Durham	701199738.0
Durham	655866336.0
