GeoFIPS	GeoName	Region	TableName	LineCode	IndustryClassification	Description	Unit	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
 37000	North Carolina	5.0	CAINC5N	90.0	113-814	  Private nonfarm earnings	Thousands of dollars	139363181	141702381	146478419	157714912	167650601	184073742	196758476	206029038	189965898	188872780	192635983	210996955	209536515	223115090	234543240	244932004	257001407	271102106	285252096
 37001	Alamance, NC	5.0	CAINC5N	90.0	113-814	  Private nonfarm earnings	Thousands of dollars	2234287	2238443	2226270	2337260	2393522	2527702	2599316	2631448	2388275	2482708	2590583	2776722	2786356	2860665	2904004	3084324	3177769	3310376	3507118
 37003	Alexander, NC	5.0	CAINC5N	90.0	113-814	  Private nonfarm earnings	Thousands of dollars	315470	313754	326895	346817	343472	354657	362506	347409	301722	314144	317223	335319	334954	352043	351753	358416	381970	393583	412126
 37005	Alleghany, NC	5.0	CAINC5N	90.0	113-814	  Private nonfarm earnings	Thousands of dollars	105869	103606	97525	104406	109841	119042	116669	115581	108465	111928	109915	111826	116670	121752	125865	132853	136782	138018	145234
 37007	Anson, NC	5.0	CAINC5N	90.0	113-814	  Private nonfarm earnings	Thousands of dollars	221334	225918	222137	230640	233133	233187	237668	241335	222307	240251	244659	249824	236232	250477	251726	253443	256999	265563	282748
 37009	Ashe, NC	5.0	CAINC5N	90.0	113-814	  Private nonfarm earnings	Thousands of dollars	254079	268120	270123	282964	296594	315784	321554	327646	306706	314604	297066	312893	303464	314600	311081	332773	345877	358311	373193
 37011	Avery, NC	5.0	CAINC5N	90.0	113-814	  Private nonfarm earnings	Thousands of dollars	180479	186798	200577	208391	221899	236713	252700	239933	220445	217845	220488	226925	225947	238681	240465	247576	256200	268609	271946
 37013	Beaufort, NC	5.0	CAINC5N	90.0	113-814	  Private nonfarm earnings	Thousands of dollars	520777	531251	533862	562953	593031	635649	660272	662436	649627	679018	701984	724431	714133	734702	742238	756578	759471	778393	746396
 37015	Bertie, NC	5.0	CAINC5N	90.0	113-814	  Private nonfarm earnings	Thousands of dollars	157818	165280	164194	174184	186750	191097	195796	199862	204730	206595	194404	196100	191737	209197	211677	205204	202716	203009	200836
 37017	Bladen, NC	5.0	CAINC5N	90.0	113-814	  Private nonfarm earnings	Thousands of dollars	327678	339497	356967	362686	369995	389937	411747	411277	427927	441148	424852	442794	437396	465066	500952	515921	525210	542548	563017
 37019	Brunswick, NC	5.0	CAINC5N	90.0	113-814	  Private nonfarm earnings	Thousands of dollars	824971	787878	883676	1080688	1223014	1325480	1306830	1241809	1147712	1191094	1160090	1227652	1304185	1427628	1514575	1614243	1727841	1827921	1931089
 37021	Buncombe, NC	5.0	CAINC5N	90.0	113-814	  Private nonfarm earnings	Thousands of dollars	3712782	3769169	3922619	4164221	4420655	4795264	5044382	5066490	4767616	4871220	4995530	5374909	5580792	6093426	6523410	6948700	7229883	7699206	8124626
 37023	Burke, NC	5.0	CAINC5N	90.0	113-814	  Private nonfarm earnings	Thousands of dollars	1032372	1058572	1062672	1124741	1116741	1137351	1114821	1102923	979046	1025663	1044583	1115497	1117368	1163165	1176496	1194155	1219658	1238449	1293565
 37025	Cabarrus, NC	5.0	CAINC5N	90.0	113-814	  Private nonfarm earnings	Thousands of dollars	2042761	2143909	2130622	2276177	2460448	2665269	2826278	2813409	2594944	2547905	2602528	2738152	2857562	3027493	3235691	3516989	3812031	3768707	3962150
 37027	Caldwell, NC	5.0	CAINC5N	90.0	113-814	  Private nonfarm earnings	Thousands of dollars	1087638	1094398	1089297	1120971	1086238	1080280	1054506	1021898	945822	943483	939669	952655	945695	970179	1026698	1094796	1198380	1284450	1322261
