GeoArea_FIPS	GeoArea_Key	GeoArea_Name	PZ_Name	WDB_Name	Economic_Measure_Name	Data_Period_Business_Key	GDP
37005	FIPS_37005	Alleghany County	Northwest	High Country	  Manufacturing	2001	53393
37005	FIPS_37005	Alleghany County	Northwest	High Country	  Wholesale trade	2001	1045
37005	FIPS_37005	Alleghany County	Northwest	High Country	  Retail trade	2001	15452
37005	FIPS_37005	Alleghany County	Northwest	High Country	  Transportation and warehousing	2001	
37005	FIPS_37005	Alleghany County	Northwest	High Country	  Information	2001	1788
37005	FIPS_37005	Alleghany County	Northwest	High Country	   Real estate and rental and leasing	2001	25981
37005	FIPS_37005	Alleghany County	Northwest	High Country	  Professional and business services	2001	12441
37005	FIPS_37005	Alleghany County	Northwest	High Country	   Management of companies and enterprises	2001	9279
37005	FIPS_37005	Alleghany County	Northwest	High Country	   Administrative and support and waste management and remediation services	2001	1624
37005	FIPS_37005	Alleghany County	Northwest	High Country	   Educational services	2001	
37005	FIPS_37005	Alleghany County	Northwest	High Country	   Health care and social assistance	2001	
37005	FIPS_37005	Alleghany County	Northwest	High Country	   Arts, entertainment, and recreation	2001	3575
37005	FIPS_37005	Alleghany County	Northwest	High Country	   Accommodation and food services	2001	3358
37005	FIPS_37005	Alleghany County	Northwest	High Country	  Other services (except government and government enterprises)	2001	6007
37005	FIPS_37005	Alleghany County	Northwest	High Country	Government and government enterprises	2001	26647
37007	FIPS_37007	Anson County	Southwest	Centralina	  Agriculture, forestry, fishing and hunting	2001	71730
37007	FIPS_37007	Anson County	Southwest	Centralina	  Mining, quarrying, and oil and gas extraction	2001	16014
37007	FIPS_37007	Anson County	Southwest	Centralina	  Utilities	2001	5201
37007	FIPS_37007	Anson County	Southwest	Centralina	  Construction	2001	15769
37007	FIPS_37007	Anson County	Southwest	Centralina	  Manufacturing	2001	154055
37007	FIPS_37007	Anson County	Southwest	Centralina	  Wholesale trade	2001	26675
37007	FIPS_37007	Anson County	Southwest	Centralina	  Retail trade	2001	26014
37007	FIPS_37007	Anson County	Southwest	Centralina	  Transportation and warehousing	2001	
37007	FIPS_37007	Anson County	Southwest	Centralina	  Information	2001	4285
37007	FIPS_37007	Anson County	Southwest	Centralina	   Real estate and rental and leasing	2001	44697
37007	FIPS_37007	Anson County	Southwest	Centralina	  Professional and business services	2001	26160
37007	FIPS_37007	Anson County	Southwest	Centralina	   Management of companies and enterprises	2001	
37007	FIPS_37007	Anson County	Southwest	Centralina	   Administrative and support and waste management and remediation services	2001	4581
37007	FIPS_37007	Anson County	Southwest	Centralina	   Educational services	2001	54
37007	FIPS_37007	Anson County	Southwest	Centralina	   Health care and social assistance	2001	16959
37007	FIPS_37007	Anson County	Southwest	Centralina	   Arts, entertainment, and recreation	2001	
37007	FIPS_37007	Anson County	Southwest	Centralina	   Accommodation and food services	2001	
37007	FIPS_37007	Anson County	Southwest	Centralina	  Other services (except government and government enterprises)	2001	12192
37007	FIPS_37007	Anson County	Southwest	Centralina	Government and government enterprises	2001	100413
37009	FIPS_37009	Ashe County	Northwest	High Country	  Agriculture, forestry, fishing and hunting	2001	40035
37009	FIPS_37009	Ashe County	Northwest	High Country	  Mining, quarrying, and oil and gas extraction	2001	1480
37009	FIPS_37009	Ashe County	Northwest	High Country	  Utilities	2001	
37009	FIPS_37009	Ashe County	Northwest	High Country	  Construction	2001	44483
37009	FIPS_37009	Ashe County	Northwest	High Country	  Manufacturing	2001	138714
37009	FIPS_37009	Ashe County	Northwest	High Country	  Wholesale trade	2001	
37009	FIPS_37009	Ashe County	Northwest	High Country	  Retail trade	2001	41520
37009	FIPS_37009	Ashe County	Northwest	High Country	  Transportation and warehousing	2001	5928
37009	FIPS_37009	Ashe County	Northwest	High Country	  Information	2001	7621
37009	FIPS_37009	Ashe County	Northwest	High Country	   Real estate and rental and leasing	2001	61028
37009	FIPS_37009	Ashe County	Northwest	High Country	  Professional and business services	2001	25309
37009	FIPS_37009	Ashe County	Northwest	High Country	   Management of companies and enterprises	2001	
37009	FIPS_37009	Ashe County	Northwest	High Country	   Administrative and support and waste management and remediation services	2001	
37009	FIPS_37009	Ashe County	Northwest	High Country	   Educational services	2001	
37009	FIPS_37009	Ashe County	Northwest	High Country	   Health care and social assistance	2001	
37009	FIPS_37009	Ashe County	Northwest	High Country	   Arts, entertainment, and recreation	2001	4391
37009	FIPS_37009	Ashe County	Northwest	High Country	   Accommodation and food services	2001	9330
37009	FIPS_37009	Ashe County	Northwest	High Country	  Other services (except government and government enterprises)	2001	16733
37009	FIPS_37009	Ashe County	Northwest	High Country	Government and government enterprises	2001	49429
37011	FIPS_37011	Avery County	Northwest	High Country	  Agriculture, forestry, fishing and hunting	2001	49999
37011	FIPS_37011	Avery County	Northwest	High Country	  Mining, quarrying, and oil and gas extraction	2001	93
37011	FIPS_37011	Avery County	Northwest	High Country	  Utilities	2001	
37011	FIPS_37011	Avery County	Northwest	High Country	  Construction	2001	30499
37011	FIPS_37011	Avery County	Northwest	High Country	  Manufacturing	2001	14994
37011	FIPS_37011	Avery County	Northwest	High Country	  Wholesale trade	2001	
37011	FIPS_37011	Avery County	Northwest	High Country	  Retail trade	2001	25692
37011	FIPS_37011	Avery County	Northwest	High Country	  Transportation and warehousing	2001	7701
37011	FIPS_37011	Avery County	Northwest	High Country	  Information	2001	5512
37011	FIPS_37011	Avery County	Northwest	High Country	   Real estate and rental and leasing	2001	88526
37011	FIPS_37011	Avery County	Northwest	High Country	  Professional and business services	2001	23543
37011	FIPS_37011	Avery County	Northwest	High Country	   Management of companies and enterprises	2001	
37011	FIPS_37011	Avery County	Northwest	High Country	   Administrative and support and waste management and remediation services	2001	6133
37011	FIPS_37011	Avery County	Northwest	High Country	   Educational services	2001	
37011	FIPS_37011	Avery County	Northwest	High Country	   Health care and social assistance	2001	
37011	FIPS_37011	Avery County	Northwest	High Country	   Arts, entertainment, and recreation	2001	18321
37011	FIPS_37011	Avery County	Northwest	High Country	   Accommodation and food services	2001	18774
37011	FIPS_37011	Avery County	Northwest	High Country	  Other services (except government and government enterprises)	2001	14805
37011	FIPS_37011	Avery County	Northwest	High Country	Government and government enterprises	2001	51379
37013	FIPS_37013	Beaufort County	Northeast	Region Q	  Agriculture, forestry, fishing and hunting	2001	55255
37013	FIPS_37013	Beaufort County	Northeast	Region Q	  Mining, quarrying, and oil and gas extraction	2001	32
37013	FIPS_37013	Beaufort County	Northeast	Region Q	  Utilities	2001	6094
37013	FIPS_37013	Beaufort County	Northeast	Region Q	  Construction	2001	46321
37013	FIPS_37013	Beaufort County	Northeast	Region Q	  Manufacturing	2001	555249
37013	FIPS_37013	Beaufort County	Northeast	Region Q	  Wholesale trade	2001	49869
37013	FIPS_37013	Beaufort County	Northeast	Region Q	  Retail trade	2001	73578
37013	FIPS_37013	Beaufort County	Northeast	Region Q	  Transportation and warehousing	2001	
37013	FIPS_37013	Beaufort County	Northeast	Region Q	  Information	2001	19690
37013	FIPS_37013	Beaufort County	Northeast	Region Q	   Real estate and rental and leasing	2001	100764
37013	FIPS_37013	Beaufort County	Northeast	Region Q	  Professional and business services	2001	
37013	FIPS_37013	Beaufort County	Northeast	Region Q	   Management of companies and enterprises	2001	
37013	FIPS_37013	Beaufort County	Northeast	Region Q	   Administrative and support and waste management and remediation services	2001	12970
37013	FIPS_37013	Beaufort County	Northeast	Region Q	   Educational services	2001	2462
37013	FIPS_37013	Beaufort County	Northeast	Region Q	   Health care and social assistance	2001	78438
37013	FIPS_37013	Beaufort County	Northeast	Region Q	   Arts, entertainment, and recreation	2001	2739
