,Region Code	Region Name	1999 Q1	1999 Q2	1999 Q3	1999 Q4	2000 Q1	2000 Q2	2000 Q3	2000 Q4	2001 Q1	2001 Q2	2001 Q3	2001 Q4	2002 Q1	2002 Q2	2002 Q3	2002 Q4	2003 Q1	2003 Q2	2003 Q3	2003 Q4	2004 Q1	2004 Q2	2004 Q3	2004 Q4	2005 Q1	2005 Q2	2005 Q3	2005 Q4	2006 Q1	2006 Q2	2006 Q3	2006 Q4	2007 Q1	2007 Q2	2007 Q3	2007 Q4	2008 Q1	2008 Q2	2008 Q3	2008 Q4	2009 Q1	2009 Q2	2009 Q3	2009 Q4	2010 Q1	2010 Q2	2010 Q3	2010 Q4	2011 Q1	2011 Q2	2011 Q3	2011 Q4	2012 Q1	2012 Q2	2012 Q3	2012 Q4	2013 Q1	2013 Q2	2013 Q3	2013 Q4	2014 Q1	2014 Q2	2014 Q3	2014 Q4	2015 Q1	2015 Q2	2015 Q3	2015 Q4	2016 Q1	2016 Q2	2016 Q3	2016 Q4	2017 Q1	2017 Q2	2017 Q3	2017 Q4	2018 Q1	2018 Q2	2018 Q3	2018 Q4	2019 Q1	2019 Q2	2019 Q3	2019 Q4	2020 Q1	2020 Q2
37001	Alamance County, NC	40.10787902138316	40.219062259800154	38.739255014326645	38.62767584097859	38.862559241706165	38.31598864711447	37.96261682242991	37.82411604714415	38.52994555353902	38.19757991692252	37.40348356976118	37.60294375328544	37.5043875043875	37.924328147100425	38.34626234132581	38.41141246917929	38.42207677339466	38.295980078263966	38.86524822695036	38.70741131015104	39.0282131661442	38.24445983379501	38.407534246575345	38.72024836150397	37.94295592048401	38.27353094123765	38.333333333333336	38.31014591109603	38.35569899779174	38.37406653088934	38.55645706558485	38.46023688663283	38.97990204357372	38.31540013449899	38.46282933378083	38.970588235294116	38.47997261211914	38.495726495726494	37.97945205479452	38.19147114231889	37.63533253136278	37.37964236588721	37.48701973001039	37.45240567670474	37.11858529819695	35.998609421171565	36.19113334483354	36.48857584607455	36.04929818555289	36.0	35.73877271169009	35.73388203017833	35.578911095796	35.46099290780142	35.04851004851005	35.528357179796586	34.906789806738495	34.62457337883959	34.41123632206435	34.39282803585982	33.473820716485655	33.09962497961846	33.246837495945506	34.07335907335907	33.196527229676406	32.988883669954596	33.0934126114849	33.01725478004042	32.26505651029571	31.278009581208472	31.186543415669043	31.3195070634205	31.318434078296086	31.062874251497007	31.239743398478293	31.401396938623865	31.17505995203837	30.47519112576825	31.00717274357442	31.446354475400117	31.03296056503826	30.854034984565633	31.384300540856604	31.590445674337314	30.53900915298562	29.681159420289855
37003	Alexander County, NC	41.278065630397236	41.125541125541126	40.51724137931034	40.44180118946474	41.30982367758186	40.49382716049383	40.0	39.56661316211878	40.12789768185452	40.23529411764706	39.8443579766537	39.0357698289269	39.78159126365055	39.652448657187996	40.21909233176839	40.49650892164468	40.06211180124223	40.1244167962675	40.90560245587106	39.43338437978561	39.5118230358505	39.247311827956985	39.38019652305367	38.47316704459562	38.57142857142858	38.72919818456884	38.918507235338915	39.55453149001536	38.69002284843869	37.53776435045317	37.1900826446281	37.039819684447785	36.486486486486484	36.13824192336589	36.459114778694676	38.40245775729647	37.774294670846395	38.93666927286943	38.72472783825817	38.66459627329192	37.43104806934594	37.60818253343824	38.113795791114576	38.106235565819865	37.24884080370943	37.18944099378882	36.566589684372595	36.67687595712098	34.892638036809814	35.42274052478135	36.18705035971223	35.85454545454546	35.609397944199706	35.02575423105224	33.99705014749262	34.801762114537446	35.73508005822416	35.880640465793306	36.07242339832869	36.12456747404844	35.788024776324846	35.25730180806676	33.58885017421603	32.98826777087647	32.71221532091098	30.986887508626637	31.837016574585636	31.129476584022036	31.331058020477816	31.622176591375773	30.040595399188092	30.305084745762713	29.864864864864867	29.885829415715243	30.343897505057317	30.29073698444895	29.56228956228956	28.706199460916444	27.9838165879973	29.49061662198391	28.58103564223268	28.7248322147651	28.62903225806452	29.245283018867923	28.32331329325317	27.344782034346103
37005	Alleghany County, NC	35.6979405034325	32.79445727482679	32.59423503325942	32.23684210526316	33.839479392624725	33.839479392624725	31.372549019607842	30.17241379310345	31.25	33.688699360341154	33.829787234042556	32.27176220806794	33.61344537815126	34.166666666666664	33.67556468172484	33.26488706365503	32.926829268292686	33.94683026584867	33.264462809917354	32.577319587628864	29.791666666666668	30.062630480167012	32.02479338842975	32.091097308488614	31.48148148148148	31.600831600831604	31.600831600831604	32.10633946830266	32.371134020618555	31.40495867768595	31.901840490797547	31.557377049180328	31.27659574468085	29.64509394572025	29.166666666666668	30.237580993520517	30.10989010989011	30.28953229398664	30.88888888888889	29.621380846325167	29.6875	29.80132450331126	30.684326710816777	30.02257336343115	31.207289293849662	29.38496583143508	27.293577981651374	27.48267898383372	28.306264501160094	28.18181818181818	28.538812785388128	27.539503386004515	27.828054298642535	26.923076923076923	26.86230248306998	27.765237020316025	28.251121076233183	26.769911504424783	26.361655773420477	25.219298245614034	23.672566371681416	23.4375	25.669642857142854	26.769911504424783	26.31578947368421	28.57142857142857	26.327433628318587	27.616926503340757	28.000000000000004	27.516778523489933	25.784753363228702	23.348017621145374	23.127753303964756	23.965141612200437	22.489082969432314	23.23008849557522	21.380846325167038	21.086956521739133	19.914346895074946	21.50537634408602	22.00854700854701	21.914893617021278	22.033898305084744	21.729957805907173	20.754716981132077	20.250521920668056
37007	Anson County, NC	52.27963525835866	51.33470225872689	49.79550102249489	50.618556701030926	50.71868583162218	51.0	49.7029702970297	48.69816779170685	51.165048543689316	50.62082139446036	50.760456273764255	49.177330895795244	48.90710382513661	50.6578947368421	49.42965779467681	51.203079884504334	50.0	50.241080038572804	48.99713467048711	49.519230769230774	50.38610038610039	50.04965243296922	48.56046065259117	50.82765335929893	49.369544131910764	47.57373929590866	49.371980676328505	50.24485798237023	49.90328820116054	49.0713587487781	48.68035190615836	49.06771344455348	47.55859375	46.5832531280077	46.628131021194605	48.64864864864865	48.72318692543411	48.4472049689441	48.844537815126046	49.1578947368421	47.97441364605544	47.390841320553776	48.034006376195535	47.61399787910923	47.171824973319104	45.97207303974221	47.11538461538461	47.66454352441614	47.24576271186441	46.602972399150744	47.44136460554371	47.49199573105656	48.07692307692308	47.58842443729904	48.491379310344826	49.83783783783784	49.892008639308855	48.39055793991417	49.183673469387756	50.66124109867752	49.643221202854235	49.79633401221996	49.69450101832994	49.645390070921984	50.852557673019064	46.557040082219935	46.39593908629442	46.24746450304259	46.37385086823289	47.28205128205128	46.46878198567042	46.37385086823289	44.73684210526316	44.580777096114524	44.53524004085802	45.334685598377284	44.42169907881269	44.183673469387756	44.153225806451616	43.825910931174086	43.131313131313135	43.469591226321036	43.86138613861386	45.18664047151277	44.68503937007874	41.6258570029383
37009	Ashe County, NC	33.881578947368425	34.20479302832244	34.023991275899675	33.909287257019436	34.33155080213904	33.43815513626834	33.12434691745037	31.822759315206444	31.91699604743083	32.57199602780536	31.728880157170924	31.871345029239766	31.11111111111111	30.963972736124635	30.35019455252918	30.0	30.56640625	31.619786614936956	30.806142034548945	30.981887511916113	30.086788813886212	30.806142034548945	31.057062675397567	30.934579439252335	30.95684803001876	30.82706766917293	29.706717123935668	30.317164179104477	30.39033457249071	29.526462395543174	30.483271375464682	30.52434456928839	30.74766355140187	29.879740980573544	29.908256880733948	30.25830258302583	28.505535055350556	28.387096774193548	28.427787934186473	28.165137614678898	27.915518824609737	27.75735294117647	28.244972577696526	27.894257064721966	29.37956204379562	29.945054945054945	30.17479300827967	30.247479376718605	29.44954128440367	29.52468007312614	29.243542435424352	29.990800367985283	29.526462395543174	28.862164662349677	29.136029411764707	28.87453874538745	28.228782287822877	28.110599078341014	27.280858676207515	26.720285969615727	27.450980392156865	27.708703374777976	26.418439716312058	26.395039858281667	26.436781609195403	26.251097453906937	26.519823788546255	25.952170062001773	25.552608311229	26.079295154185022	24.561403508771928	24.561403508771928	23.218997361477573	23.406113537117903	23.251748251748253	23.697916666666664	23.19721980886186	22.652885443583116	22.80550774526678	22.48062015503876	23.09688581314879	22.270363951473136	22.357019064124785	21.317157712305026	20.79378774805867	20.06861063464837
37011	Avery County, NC	35.90504451038576	35.650887573964496	32.896652110625915	32.805755395683455	34.388489208633096	32.94964028776978	31.92090395480226	31.78621659634318	33.33333333333333	34.326241134751776	31.728045325779036	32.714285714285715	32.34463276836158	32.44005641748942	32.45125348189415	32.03342618384401	32.06751054852321	31.01529902642559	31.491712707182316	31.938633193863318	33.00699300699301	33.95415472779369	32.11267605633803	32.00589970501475	32.436472346786246	30.88235294117647	29.784172661870507	30.428360413589367	30.074074074074076	30.914368650217703	28.913963328631876	30.538922155688624	31.899109792284868	31.094890510948904	29.51977401129944	32.31240428790199	31.52	30.158730158730158	29.04238618524333	31.433224755700323	32.13703099510604	31.350482315112536	30.78125	31.54471544715447	31.433224755700323	31.570512820512818	30.047694753577108	32.30016313213703	30.99510603588907	31.2	30.126182965299687	31.179321486268176	30.392156862745097	29.458598726114648	28.07017543859649	27.662957074721778	26.86804451510334	26.666666666666668	26.969696969696972	26.403641881638844	27.54946727549467	27.155172413793103	25.718390804597703	26.600284495021338	26.72413793103448	27.546628407460545	26.504297994269344	26.42857142857143	26.695526695526695	27.729885057471265	27.375886524822697	27.015558698727016	25.66995768688293	26.928471248246844	26.019690576652604	25.071225071225072	24.390243902439025	25.0	24.495677233429394	24.41176470588235	24.368499257057948	23.75366568914956	23.357664233576642	23.78138847858198	21.513353115727003	19.970631424375917
37013	Beaufort County, NC	43.196202531645575	43.83634431455898	42.4483306836248	42.395336512983576	42.419440042260966	41.962421711899786	43.14536989136058	42.24224224224224	43.34334334334334	42.416708105420184	42.62376237623762	42.09505334626576	41.63461538461539	41.66666666666667	41.48832684824903	40.884783665532325	41.609756097560975	42.006886374815544	41.147621383030895	41.104594330400786	40.53789731051345	41.38957816377171	40.54054054054054	39.67339097022094	39.48497854077253	39.41320293398533	39.776046738072054	39.541547277936964	39.225991399904444	39.2434988179669	37.914913510986445	38.45070422535211	38.53427895981088	39.19621749408984	38.56736242884251	40.34833091436865	39.35546875	38.93543617545589	38.04347826086957	37.96526054590571	37.34939759036144	36.61119515885023	36.73163418290854	36.895161290322584	37.040764972320076	36.54822335025381	36.958710976837864	36.597677940434124	35.63802745297407	35.47728432873915	35.696073431922485	36.16803278688525	35.74730354391371	35.06962351727695	35.108583247156155	35.40372670807454	35.26992287917738	34.83837865572088	34.98268184067294	35.42490118577075	34.69891411648568	34.33062880324544	34.332148298628745	34.42871587462083	34.375	34.841628959276015	34.970238095238095	35.33201189296333	34.15719228868018	33.98009950248756	33.97341211225997	33.95303326810176	32.85854616895874	33.267909715407264	32.86339329120078	32.50728862973761	31.619786614936956	31.899468342194297	32.024892292963145	32.29665071770335	31.65159447881961	31.395902810862314	32.22433460076046	32.38501659554291	31.966053748231964	30.877522290004695
37015	Bertie County, NC	53.827160493827165	55.47445255474452	54.44711538461539	53.77245508982036	52.51798561151079	52.460984393757506	53.827751196172244	53.80116959064327	54.418604651162795	54.15704387990762	52.77777777777778	54.11111111111111	53.650442477876105	53.931339977851614	52.98672566371682	53.03867403314917	53.65853658536586	52.3542600896861	52.00892857142857	51.87224669603524	51.24593716143012	51.91256830601093	51.12299465240642	51.45317545748116	50.54347826086957	50.82327113062569	49.34924078091106	49.187432286023835	48.59307359307359	48.35526315789473	49.55947136563877	49.836423118865866	49.89106753812636	48.86731391585761	48.68995633187773	50.57471264367817	51.56431054461182	52.28070175438596	51.9002375296912	51.674641148325364	51.843043995243754	51.07398568019092	48.99169632265718	50.181378476420804	49.16267942583732	48.41075794621027	48.831488314883146	49.33171324422843	49.08869987849332	48.837209302325576	49.63054187192118	48.225214198286416	48.831488314883146	48.02469135802469	48.581997533908755	47.66009852216749	48.529411764705884	48.645320197044335	49.415887850467286	48.717948717948715	47.652582159624416	48.1651376146789	47.6409666283084	48.346636259977195	46.681664791901014	45.85201793721973	47.24409448818898	46.868008948545864	47.87472035794183	47.045707915273134	46.179401993355484	45.74585635359116	45.23281596452328	44.55555555555556	42.728297632469	43.91353811149033	44.712643678160916	44.58380843785633	45.28735632183908	45.9521094640821	46.029919447640964	44.254835039817976	46.3963963963964	45.39249146757679	44.38138479001135	42.27733934611049
37017	Bladen County, NC	50.565709312445605	50.30408340573415	50.69324090121318	50.21459227467812	50.599315068493155	50.21240441801189	50.170648464163826	49.29810074318745	49.63444354183591	49.32270916334661	48.20717131474104	48.70992963252541	49.303405572755416	47.61904761904761	46.80030840400925	47.09976798143852	47.183098591549296	47.49608763693271	46.557120500782474	47.10871241326137	47.50778816199377	46.815042210283956	46.93877551020408	48.119723714504985	47.13521772345302	48.762190547636905	48.53273137697517	48.13153961136024	47.59437453737972	46.14243323442137	46.681580909768826	46.55688622754491	47.629796839729124	46.757164404223225	46.829640947288006	48.97476340694006	49.798873692679	49.065800162469536	49.303849303849304	49.14703493095045	48.413344182262	47.21311475409836	46.54752233956133	47.41518578352181	47.22675367047308	45.97039473684211	45.74731626754748	46.40198511166253	45.99332220367279	45.92346089850249	45.726141078838175	46.97597348798674	47.05882352941176	47.24540901502504	46.744574290484145	46.838602329450914	45.99504541701073	45.61258278145696	45.44037412314887	46.17169373549884	45.39781591263651	44.541139240506325	43.39920948616601	44.383775351014044	44.39288476411446	43.95348837209303	44.675925925925924	43.82194934765925	43.87047031611411	43.14484895429899	41.801385681293304	41.77018633540372	41.58262218774244	41.865844255975325	42.01550387596899	41.72604908946952	41.50039904229848	40.4610492845787	40.45561665357423	38.93249607535322	38.89328063241106	39.45902943516308	39.130434782608695	41.21779859484778	40.6055900621118	38.89321901792673
37019	Brunswick County, NC	41.73451327433628	41.46600566572238	39.83199159957998	39.700765483646485	40.567670474212534	39.249146757679185	39.0893760539629	38.518758085381634	39.488	39.4169835234474	39.208969168483335	38.53211009174312	38.715540745228715	38.52708460133901	38.649940262843494	38.43843843843844	38.42925659472422	38.40450771055753	38.01945181255526	36.811594202898554	36.789488717509286	36.87055476529161	36.2962962962963	36.551536578732666	36.05937921727395	36.024844720496894	35.055643879173296	35.097783572359845	35.225806451612904	34.71542621684265	34.025519139354515	34.18316831683168	33.63547280744733	33.11546840958606	32.93556085918855	33.389748549323016	33.2051898125901	32.96492071119654	33.4208641680592	33.29369797859691	33.54007633587786	33.51518026565465	33.051444679351654	32.4134705332086	31.72381618847679	31.592445791559804	31.5058986814712	31.62822562228819	31.47012042717564	30.945884492951343	30.64699205448354	30.892655367231637	30.90254332658114	30.751862722962294	30.457194083370688	30.245535714285715	30.355173174498123	29.9912625600699	29.69709807244228	29.138655462184875	28.71656645241551	28.589134476347862	28.2906857727738	28.672174088253072	27.887323943661972	26.956869009584665	27.049504950495052	26.82878608145512	26.233714962495064	25.391849529780565	24.841376658334934	24.86631016042781	24.593572778827976	24.474474474474476	24.25359380759307	24.05178701677608	24.03309947832344	23.739083942256283	23.76429199648197	23.57354737393125	23.400207540643375	23.210930828351835	23.31484283072785	23.11881188118812	22.62332571055211	20.99224305106658
