"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09"
"Williamson County","IL","Carbondale-Marion","17","199",791,129000,129450,129900,129900,138500,134900,129000,129900,129000,128500,119900,114500,115900,119000,119000,119900,124500,124700,128250,129500,128000,129000,119900,119900,118000,110000,114900,114950,114500,116450,119450,127900,124900,119900,119500,119900,120900,119500,116450,119500,124900,122700,117000,118500,112500,109950,119000,119000,115000,124000,126500,125000,121000,125500,128000,127000,127500,125500,123000,125250,122900,122950,125250,129900,148500,145000,145000,142500,148000,149000,145000,139750,135000,136950,135000,134900,139900,139900,139450,139900,135500,133450,128000,124500,124700,125000,129900,135000,138500,134500,134500,133950,138900,134900,129900,121950,124400,126900,126048.5,129900,129500,127500,125000,129500,124900,124900,127900,128450,124250,122500,125000,129900,129900,135490,134900,132500,129000
"Robertson County","TN","Nashville-Davidson--Murfreesboro--Franklin","47","147",792,167950,169900,169450,164900,165900,164900,164999.5,164900,163900,159900,159900,158350,154900,149900,149900,149900,149900,154000,149900,149900,149900,149400,147900,144450,139500,139900,144000,142900,144950,148450,149900,148400,149200,149900,149900,149900,148900,147900,149900,159000,157500,159250,157500,154999,157400,157900,159900,159900,162900,161700,159900,160250,169900,167500,169000,169000,169900,175000,175000,173900,168832.5,169900,174900,179900,184900,192450,190000,193460,194900,189900,189950,188900,199900,203700,214375,214950,214900,214900,214637.5,214950,218423,218875,215450,219000,211250,209900,208000,214250,234900,249900,249900,248900,244900,244900,244900,250000,244900,250000,248900,259900,257900,259900,259900,257450,249900,249900,260000,265000,265000,264900,264900,263750,264200,267650,266157.5,269000,269000
"Dallas County","IA","Des Moines-West Des Moines","19","049",793,169900,171900,172900,176325,179000,179900,180000,190300,189435,187500,194900,194900,189900,194900,189500,192900,197000,199900,204450,206900,204950,204950,204700,201900,204700,209000,199900,204900,201900,201900,204900,209900,210000,219900,215400,215000,219250,185000,190000,2e+05,204525,209900,210000,209900,209900,204900,220000,256900,255000,254900,250000,247000,249900,254900,256250,259750,263225,263900,269850,261000,259900,249000,256000,262500,258100,262900,269900,269900,259900,266500,265000,262950,267900,271900,269900,274900,269950,269900,273750,274307.5,269450,272750,274700,274900,274950,279450,284865,285000,294900,299000,299500,290250,299600,299900,299900,299949.5,309900,304000,302000,299735,297200,294900,299450,302077.5,300229,305000,307900,299900,299900,3e+05,299590,298900,295950,295000,294950,294000,285000
"Salem County","NJ","Philadelphia-Camden-Wilmington","34","033",794,189900,187000,190000,184900,179963.5,179913.5,179963.5,175000,175000,173750,170000,169000,169000,159900,168950,159900,160000,164900,164900,159900,154900,154900,158000,159000,159900,159900,153500,159000,159000,158500,155000,152000,149999.5,149000,149900,149900,145000,144950,147000,155000,159900,159900,154900,153450,154900,150000,149900,149900,149000,144900,149900,149900,154950,150000,150000,149900,149250,149900,149999,149900,142950,139900,139900,139307,130000,134900,135000,129900,127000,129900,127000,120000,124900,129900,131000,132900,134900,129900,125000,128500,125000,129900,125000,115000,115000,119900,120000,128185,129900,129900,127000,120000,124000,124000,123900,119000,119000,120000,120000,125000,124900,129900,135900,134900,135000,139949.5,139250,139900,139000,134900,134700,134900,134900,139999.5,145549,145000,142725
"Butler County","KS","Wichita","20","015",795,141900,148750,157750,158950,154950,149700,149500,147500,149900,152500,149700,144900,134524,139900,142750,149900,149900,153900,153900,155000,149900,149900,150000,149900,149900,154900,153500,154000,149900,151900,150000,154900,150000,145900,149900,149900,152500,154900,154900,159900,159900,160000,158900,154200,149900,149500,148600,148600,149900,152000,149800,157900,157900,156000,152400,150000,154900,155000,149700,146450,149900,150000,157500,163900,164950,165000,175000,167000,172000,179900,175000,169900,164950,164500,169900,163400,166450,170000,164900,175000,177950,189500,179749.5,184900,185000,192450,189900,189900,194900,198450,197000,2e+05,203050,189900,187500,184900,187700,190450,192000,199000,199000,219000,215000,199000,199900,193585,193135,184900,192500,192500,185000,199500,194900,194363,197000,189900,189900
"Warren County","NY","Glens Falls","36","113",796,249900,239900,244950,249000,248000,255000,257900,249900,249900,249900,249000,239000,229900,229900,229900,239000,239900,249000,248500,247900,244672.5,249000,245225,239900,247900,239950,248000,244900,247825,244900,249000,249000,249000,249999,249900,249900,249900,249925,249225,249900,254900,249000,244300,235400,249000,249000,249900,249900,239900,243700,239900,239900,244900,239900,239000,234900,229950,229900,229900,233900,234900,229000,233900,229900,239900,229900,229900,232500,235000,239450,239000,239000,239900,239900,245000,249900,249900,244900,249000,246700,244900,239900,239900,239900,239000,238250,234950,235000,249000,248800,249000,245000,239949.5,234950,245400,247500,249850,254950,249900,255000,254999,249999,254900,251250,249900,249500,249000,239900,239700,244900,247500,259000,269638.5,266950,264950,269638.5,269900
"Chaves County","NM","Roswell","35","005",797,154200,157000,156250,155000,153200,159000,152900,157750,154900,150000,154200,149900,151250,155000,155000,159250,159250,159500,156000,155000,150000,150000,144950,139950,135000,129900,138250,139900,142000,139900,139000,139900,139000,139900,139900,139900,135000,135000,134900,134950,137200,140000,139900,139900,139950,140000,144700,139000,137200,139450,140000,145000,147250,149000,154950,155750,152400,147500,149900,145000,140000,154950,152500,152800,148000,144000,142000,139875,139000,135000,135000,135000,139000,139000,138500,138500,145500,150000,150000,159500,149950,143900,149900,149750,139900,135000,139000,144950,138999.5,147000,149900,162500,158950,169900,165000,158000,156500,160000,165000,160000,165000,163700,169900,170074.5,175320,175000,174950,175000,175000,169900,174000,169950,167500,164900,167000,165000,185000
"Harrison County","TX","Marshall","48","203",798,169900,169900,169900,165000,169900,169900,168450,172000,170750,169900,165500,165000,164500,164500,162250,164950,172000,179900,179900,185000,197000,179900,194900,189950,179900,180000,189250,189950,197500,194900,189900,189950,189950,188900,178440,179500,180000,182450,182450,179900,179900,174950,169500,169500,174700,177000,174500,175000,182000,185000,185000,188950,194900,189000,193500,191500,179900,179900,179900,179900,179900,186250,185000,184250,180000,183500,189900,193750,190405,194950,185000,189900,179900,178500,179500,178750,179200,175000,178000,181250,176400,179000,181250,179450,180000,187500,187700,188500,199105.5,193700,196500,195000,196000,199000,205750,204900,196000,198750,197000,199500,203450,204500,208950,204900,205000,199000,195000,189900,189900,194900,199000,199000,204950,205000,204900,204900,199999
"McCracken County","KY","Paducah","21","145",799,159900,159700,159900,159900,159000,157900,159000,155950,159900,139900,139900,139900,144250,139900,139900,139900,149950,154750,150000,149900,155000,149900,149900,149900,149900,158900,159900,158950,159925,159900,159950,157750,149900,145000,145000,149900,149900,149900,150000,149999.5,149900,149900,149950,154900,154999.5,159000,155000,154900,149900,149900,154900,149900,149000,149900,149450,144900,149900,145000,144700,149949.5,140000,149900,149900,149900,154900,159900,159450,154900,154900,149900,154900,148900,149900,145750,149700,149900,149900,154950,158250,159900,155000,163050,159900,150000,149900,150000,159900,159900,159900,160900,169900,165000,163950,164900,159900,159000,149900,149900,155000,159900,156900,159900,155000,149900,149900,149900,155000,154900,153000,159900,159900,159900,159900,156450,159900,159900,164000
"York County","VA","Virginia Beach-Norfolk-Newport News","51","199",800,324950,325000,334900,325000,334500,329000,320000,324500,314900,315000,310000,305000,309000,314900,317900,319000,319900,309900,310000,317000,305000,313500,302900,299000,297000,299000,298525,299900,308000,299900,299000,299000,295000,284900,280000,278500,298000,298000,298000,292000,3e+05,307250,304900,299949.5,315000,310000,315000,325000,335000,334900,328750,329900,329900,330000,328750,324900,324000,319900,315000,310000,310000,315038,319900,324900,321052,324450,323900,324900,324000,321000,319900,306500,302325,305000,323500,324497.5,324495,319000,319800,325000,318250,315000,316700,313900,314950,315000,332000,334850,339900,345000,345450,339060.5,335000,327437.5,312450,319100,310000,315000,325000,335000,339900,329990,325875,325000,320900,325000,315490,321782.5,319945,325000,330000,342500,334900,340000,335000,324900,320000
